period,portfolio,n,ann_return,ann_vol,sharpe,t_stat,hit,max_drawdown,mean_period,total_return,turnover
all,G1,107,0.16542192243502196,0.2432315536320931,0.7536028192024206,2.2503174104770287,0.6261682242990654,-0.3496892618208868,0.015274998711344178,2.9156907374975285,0.2305781899135229
all,G2,107,0.12964557807131638,0.1814753306722005,0.7668979419922571,2.2900176949319935,0.6355140186915887,-0.29654283618257005,0.011597754801239578,1.9652957096041241,0.4745783505179859
all,G3,107,0.1323806776911094,0.17029484939966102,0.819485819488205,2.447049241648352,0.6355140186915887,-0.26630653311033825,0.011629517851241807,2.0299305983097335,0.5278302256448069
all,G4,107,0.14264521842752043,0.16143955683601877,0.9117780720089298,2.72264118133793,0.6635514018691588,-0.24135384952212469,0.012266420656493438,2.2838000781236363,0.4831261027733552
all,G5,107,0.22632407369489682,0.20236860518180638,1.1166267230653237,3.3343353977592693,0.7009345794392523,-0.22961268251246436,0.018830849371288396,5.166851829722896,0.2366314592404545
all,universe,107,0.17225681488925293,0.18128683300335438,0.9734390440353226,2.906765703383618,0.6728971962616822,-0.2719546046851553,0.014705973451248041,3.125275888602598,
all,long_short,107,0.028394696812965803,0.17095710068221487,0.24959599659243437,0.7453133167837227,0.5514018691588785,-0.3205901951107216,0.003555850659944214,0.2835864881099617,
all,long_short_gross,107,0.028546978436232662,0.17093541520962172,0.2504775638838294,0.7479457461931999,0.5514018691588785,-0.3197376072169016,0.0035679571985980773,0.2852822696623394,
train,G1,64,0.16226985755087897,0.2915154460854591,0.6627247241784516,1.530497191612198,0.640625,-0.3496892618208868,0.01609954113339535,1.2299948811756547,0.23488061018618955
train,G2,64,0.1434990267813001,0.21394948100968064,0.7383555560127005,1.705159116086354,0.671875,-0.29654283618257005,0.013164232334127625,1.0445179588412712,0.48313935746798264
train,G3,64,0.12912675595847212,0.1994856490280132,0.7119894405908144,1.644269180741111,0.59375,-0.26630653311033825,0.011835972971445887,0.9111483187255462,0.5379258960873909
train,G4,64,0.12341595158595808,0.18435748049138137,0.727010154280794,1.678958033110431,0.640625,-0.24135384952212469,0.01116914669457147,0.8601578234706782,0.48772273172119995
train,G5,64,0.16888011703464012,0.20665269349759754,0.8627801064490007,1.9925053068391383,0.65625,-0.22961268251246436,0.014857986074485829,1.2984753290461302,0.2468869531413712
train,universe,64,0.15890957495024893,0.2110952130365996,0.8087075295429949,1.8676300395093013,0.640625,-0.2719546046851553,0.01422619068609839,1.1958243942768512,
train,long_short,64,-0.02951583719191142,0.17301449864646756,-0.08611220922795428,-0.19886762871309113,0.53125,-0.3175943555936521,-0.001241555058909519,-0.14767528782346706,
train,long_short_gross,64,-0.02923954254394745,0.1730408806801642,-0.08443385411910172,-0.1949916336175239,0.53125,-0.3169976116670702,-0.0012175423729991561,-0.14638032970479065,
test,G1,43,0.17012920480303428,0.14768128783540416,1.1414667074008293,2.1607616037039095,0.6046511627906976,-0.12326408341540929,0.014047772780849413,0.7559191595243355,0.22417458764722847
test,G2,43,0.10933667473228836,0.11976702476424235,0.9284278414878977,1.7574855391663187,0.5813953488372093,-0.10958380420674407,0.009266253356941095,0.45036422731385706,0.4618363866854325
test,G3,43,0.1372410968768325,0.1161791625556261,1.1694595377838688,2.2137511763988478,0.6976744186046512,-0.07941924482433582,0.01132223581186829,0.5853979351692857,0.512804111497705
test,G4,43,0.17187672846774427,0.12141277568589802,1.3737835269439684,2.6005302454950123,0.6976744186046512,-0.08018344503000652,0.013899572599819159,0.7653341220245118,0.4762846085254003
test,G5,43,0.31709137913220187,0.19642178602112764,1.511682511367706,2.8615688100021277,0.7674418604651163,-0.1371328457736789,0.0247439482316457,1.6830185000428717,0.2213674683181598
test,universe,43,0.19240766973581702,0.12685633606773788,1.4586644269507905,2.761207195977606,0.7209302325581395,-0.09812077685326648,0.015420068729610315,0.8786911646280215,
test,long_short,43,0.12104798331995226,0.16677361968418736,0.7696307464730603,1.4568874897767854,0.5813953488372093,-0.17392389536832842,0.010696175450796283,0.5059829543509773,
test,long_short_gross,43,0.12098606684163271,0.16669200794074857,0.7696033908911688,1.4568357064960162,0.5813953488372093,-0.17397975277968913,0.010690561212138145,0.5056849254866014,
