,buy_and_hold,tsmom_252,ma200
n,2511.0,2511.0,2511.0
ann_return,0.1521528509502097,0.08779291985450355,0.10185845548528505
ann_vol,0.17974049020644148,0.14009189671964553,0.11784988120866559
sharpe,0.8782915682015653,0.6714513573573203,0.8823930785387094
t_stat,2.772437722976557,2.119520600764808,2.7853846558534836
hit,0.5535643170051773,0.4356829948227798,0.42931103146156907
max_drawdown,-0.3371726930123553,-0.313750461111446,-0.20684748003323317
mean_period,0.0006264466548124348,0.0003732733897109822,0.00041265841065530007
total_return,3.1011362592679115,1.3129010614260035,1.6287760779913913
