period,threshold,direction,regime,n,n_symbols,avg_move,net_1,hit_1,lochit_1,xspy_1,xloc_1,xloc_lo_1,xloc_hi_1,t_1,net_2,hit_2,lochit_2,xspy_2,xloc_2,xloc_lo_2,xloc_hi_2,t_2,net_3,hit_3,lochit_3,xspy_3,xloc_3,xloc_lo_3,xloc_hi_3,t_3,net_5,hit_5,lochit_5,xspy_5,xloc_5,xloc_lo_5,xloc_hi_5,t_5,net_10,hit_10,lochit_10,xspy_10,xloc_10,xloc_lo_10,xloc_hi_10,t_10
all,2.0,-1,above_ma200,16776,514,0.07655325651554867,-0.0008490706318355654,0.4715665236051502,0.4756616595135909,-0.00034907063183556476,0.00010198515332804111,-0.00020211710108989525,0.00038138443859810214,0.6573543029371965,-0.0008152501273100226,0.4799713876967096,0.4666309012875537,0.0001289156789027039,0.0012064864409514857,0.00072193271924291,0.0016408574281038906,4.957290686234929,-0.0009667368427292717,0.467779433681073,0.4601156413924654,-8.516368632146807e-06,0.001805631638607306,0.001231378310869643,0.0023977607952999813,6.014185973012514,-0.0029550424823772885,0.45898903195040536,0.4457677634716261,-0.0011564624845296324,0.00196822858543256,0.0012244873623323328,0.0026862236876261268,5.2893425475119065,-0.005569226673028388,0.4404627034762387,0.4279089175011922,-0.0021427869907096647,0.004091401111606664,0.00299683911417361,0.005135034000963205,7.442271620509104
all,2.0,-1,below_ma200,4779,511,0.10638603658011513,-0.001660659188343831,0.4699727976564135,0.49947687800795143,-0.001160659188343831,-0.0014903752174601364,-0.002199493269682287,-0.0007593317755604356,-3.9569333317386657,-0.0002821223459627556,0.4978028876333961,0.49983260096254445,0.0015730609405194772,-0.00019981969349680038,-0.0012020596649049496,0.0007698733852555331,-0.36914519266032286,0.0010971910673170297,0.49508265327474366,0.498932831136221,0.0031919443774635044,0.0010918717847199883,-0.00029671618792852174,0.0024876836754897367,1.5819923218047838,0.004803531674380419,0.5178907721280602,0.5009416195856874,0.005833869169296251,0.003993637732768681,0.002349550380496201,0.005577950488040857,4.434078790410589,-0.008716809180155249,0.4260305503243356,0.502490060682151,0.00230293828276846,-0.010566710220108046,-0.013298915781263567,-0.00817850292017125,-8.254889637885382
all,2.0,1,above_ma200,9268,514,-0.065343897511376,0.0005969126802746278,0.5182347863616745,0.5172744928787225,0.0010969126802746283,0.0007092076489917408,0.00025957853839329853,0.0010989421417330807,3.2339446991908876,0.0006463863683170887,0.5251402675873975,0.5383038411739318,0.0016484769785400316,-0.0004751580115252024,-0.0011742938516193149,0.00014895312181522016,-1.4478403215053128,0.0006296795045128316,0.5347432024169184,0.5547259387138542,0.002061168541069713,-0.0020920679133759374,-0.0029235870495336897,-0.0014230931813111085,-5.148821296696233,0.003741330626506267,0.562473025463962,0.5733059991368148,0.0022857097875758777,-0.0013372627729671554,-0.0023409524185707153,-0.0003341147117024508,-2.640947188728054,0.003718029488233941,0.5541648683642642,0.6099805783340526,0.0025067721175307425,-0.00857681887080826,-0.010073187744304312,-0.00703923670042764,-10.753824470100797
all,2.0,1,below_ma200,10878,511,-0.09056620289724156,0.0015861586114241733,0.4931053502482074,0.4997517926089354,0.0020861586114241737,0.002121665382242931,0.0015476665956388688,0.00267233656094213,6.810578990776867,-0.0030580896015056664,0.4826254826254826,0.5055065269350983,0.0013009120601878412,-0.0026104701355061898,-0.003536807599212405,-0.0016719223982593764,-5.409854663459826,-0.00289157564042165,0.4950358521787093,0.514726971869829,0.0015130573543318268,-0.0029931789503466473,-0.004329436893800401,-0.0018146010966397833,-4.853414610577594,-0.002280099588948526,0.5114910829196544,0.5220720720720721,0.0015130571013348948,-0.003119780498426154,-0.004915348266429859,-0.001561275130415629,-3.7011505569686074,0.002806194927406541,0.5562195458306518,0.5315591101305386,0.0036271776141065352,-0.00010593108564720981,-0.0023098256217485742,0.0020217358217888884,-0.0991964404782485
all,2.5,-1,above_ma200,8035,514,0.09553698350127747,-0.001243924322768037,0.4759178593652769,0.48303671437461104,-0.0007439243227680366,-0.00041903008794759634,-0.0009089742596008053,7.241613588762258e-05,-1.7028330112078893,-0.0008992174590543571,0.48686994399502176,0.46917237087741137,8.551119514266493e-05,0.0008303208092725368,9.818472063500502e-05,0.0016825040268073923,2.1683422893512514,-0.0007848818787309606,0.47348767737117253,0.4594399502177971,-0.0003283964173885286,0.0019363443299905492,0.0010738166720708233,0.0029167486458456897,4.162298378708649,-0.0020499403966856415,0.4710640945861854,0.4492097075295582,-0.0007394777070312196,0.002579032759143575,0.00149914906055447,0.003720502118292908,4.559727298705549,-0.004477490884729566,0.4491599253266957,0.42881144990665837,-0.0024374770435849607,0.005203187472055147,0.0034633327564301823,0.007009671955041613,6.101213939479364
all,2.5,-1,below_ma200,1943,494,0.13997058075002783,-0.0014048843873182327,0.478641276376737,0.4946474523932064,-0.0009048843873182322,-0.0011576612638646508,-0.0024228804823431013,1.1007747172454883e-05,-1.7897786932177155,-0.0017300663122352545,0.4837879567678847,0.5018013381369018,0.0031215731207918074,-0.001588918584196134,-0.003351193264395835,0.00022031352944172319,-1.6719691019060858,0.00161752318246547,0.4981986618630983,0.4936181163149769,0.0057466672468266715,0.0011593609713415,-0.000919233738932171,0.0032597587885627955,1.0529162421261573,0.008902273335356006,0.5434894493051982,0.5004632012352033,0.010682430848620566,0.00819454348643227,0.005507485085073567,0.011050667720486228,5.661632579259204,-0.015598826974905472,0.40555841482243954,0.5071024189397838,0.0041496819367073485,-0.017985054666139397,-0.02200459915531226,-0.013983979860915558,-8.35659310039114
all,2.5,1,above_ma200,4320,510,-0.07590567390463802,0.0006184667554400147,0.5150462962962963,0.5227546296296296,0.001118466755440015,0.0006172785214805174,-5.393045058085489e-05,0.0012987649812468323,1.8244755741211198,0.00029525288127464584,0.5199074074074074,0.5403009259259259,0.0018388698021500874,-0.000862460022459382,-0.0018156889272595087,0.00013910375589142894,-1.6920098663665812,-0.001457143123609687,0.5145833333333333,0.5524074074074075,0.0017516660693798277,-0.003984419963971643,-0.005114073829504647,-0.002632308150382275,-6.247652866745976,0.0031982836239835177,0.5615740740740741,0.579375,0.0024380812583914384,-0.0022821303455425115,-0.003612000841143657,-0.0006388088292078757,-2.922083300530006,-0.0016971563871185143,0.5432870370370371,0.6170138888888889,0.0013803846568812381,-0.01439868810929488,-0.016635217838516934,-0.011849913385805183,-11.403204845330691
all,2.5,1,below_ma200,6308,508,-0.1084300141066531,0.0025125974862697177,0.5068167406467977,0.4996353836398225,0.003012597486269718,0.0031068099461262814,0.002204168516614294,0.003977342238979502,6.869312211087976,-0.006185248440887403,0.45798985415345594,0.5066265060240964,0.0007763991282720144,-0.005946164922596869,-0.007283862794974993,-0.004524621951441369,-8.074424243206686,-0.006843342286160845,0.4770133164235891,0.5149334178820545,0.0010208070714844391,-0.007295316295464842,-0.00905069336817357,-0.005712731101976546,-7.804760701340492,-0.006738600889862189,0.4966708941027267,0.5230500951173113,0.0012730130025048825,-0.008141474734864942,-0.01081867559940162,-0.005750948623333767,-6.248077462664793,-0.0024085700194715625,0.5557317266529254,0.5369213696892834,0.0035655724185476973,-0.006295834597520064,-0.009403782498065213,-0.0034881097435909988,-3.9470959874128653
all,3.0,-1,above_ma200,4279,514,0.11367020392949496,-0.0012368723137719446,0.4804860948819818,0.47999532601075007,-0.0007368723137719444,-0.00030520430914716853,-0.0010831230629632224,0.0003809345292844019,-0.8299609637136264,-0.0006231139786484406,0.4898340733816312,0.4713250759523253,0.00037247027768552504,0.0011722924133284296,0.00015046638802683417,0.002154874366505726,2.2323705844295256,0.0004384419641177185,0.4910025706940874,0.46337929422762325,-3.295234107672041e-05,0.0032815575564077975,0.0019023846555805898,0.004619363673518959,4.884671940474503,-0.0005248591820370548,0.4851600841318065,0.44860948819817714,-0.0001866672458863848,0.004154132750937407,0.0026484150185318404,0.005694561233827837,5.0630462620447245,-0.0028958694981929484,0.45571395185791075,0.4325309651787801,-0.0026030446310932966,0.006901063062108956,0.004320424813756063,0.009272982399717026,5.519987159182856
all,3.0,-1,below_ma200,838,426,0.18056207967642163,-0.0019058933648595023,0.47613365155131265,0.49558472553699284,-0.0014058933648595018,-0.001482975102523137,-0.0035174689362684605,0.0005586364376056399,-1.3681011214327925,-0.0019824629505017267,0.48568019093078757,0.49188544152744634,0.005594164557849442,-0.0017629627637693235,-0.0046401861069212125,0.0011869766596567443,-1.1566730549067317,0.0026626617757524815,0.5155131264916468,0.49928400954653934,0.008681320052299829,0.002360605578090802,-0.001315771143884788,0.00587597669030677,1.268706616670046,0.014771114835076917,0.568019093078759,0.4949880668257756,0.01725145407389357,0.013282056826674193,0.008562596022931544,0.017736057648030695,5.166126000052627,-0.023362233847627194,0.36515513126491644,0.5054892601431982,0.0031983856552698646,-0.02697211639983041,-0.03303065555060405,-0.0206057585743689,-7.586897260088989
