period,direction,year,n,n_symbols,avg_move,net_1,hit_1,lochit_1,xspy_1,xloc_1,xloc_lo_1,xloc_hi_1,t_1,net_3,hit_3,lochit_3,xspy_3,xloc_3,xloc_lo_3,xloc_hi_3,t_3,net_5,hit_5,lochit_5,xspy_5,xloc_5,xloc_lo_5,xloc_hi_5,t_5
all,-1,2016,617,364,0.04294809726229797,-0.004429733181573929,0.3338735818476499,0.47277147487844406,-0.003929733181573928,-0.003468959941088155,-0.004714910551687278,-0.002123882328014383,-5.072286277283959,-0.015139313639627446,0.34521880064829824,0.4743922204213939,-0.007619897826398342,-0.013413874912463371,-0.016600034558225316,-0.010402603105720656,-8.119109288569891,-0.020005970188086586,0.3695299837925446,0.473095623987034,-0.009445757263851457,-0.01702409581503827,-0.021086600738778456,-0.01290736545838687,-8.024952928608082
all,-1,2017,2974,481,0.03530685134161154,-7.362875250497365e-05,0.4828513786146604,0.47713517148621387,0.0004263712474950268,0.000496304688194809,-6.756049865801519e-05,0.0009919248851132162,1.8065435252397997,-0.0013710933888527411,0.46704774714189645,0.44841963685272357,0.0004254650086221799,0.0008985505595859635,1.4319870409199207e-05,0.001745376432278904,1.9371430494641113,-0.002945733025693049,0.46099529253530597,0.4335238735709482,-0.000176267279624973,0.0007250147107968445,-0.00031780644427785773,0.001796020590396229,1.2430593642348546
all,-1,2018,3266,484,0.0433357931923628,-0.001492113127271893,0.4605021432945499,0.47152480097979177,-0.0009921131272718929,-0.0009388505130452672,-0.0015936352237411171,-0.0003051940926465672,-2.7107624527327023,-0.002824447579880442,0.45376607470912433,0.46010410287813835,-0.001853666049102686,-0.0012386550307192214,-0.0024075563963523415,7.399094996557261e-05,-2.0476773888830757,-0.0005330749684075824,0.483159828536436,0.44556031843233307,-0.000737812223820033,0.0020856636748366377,0.0007732357409411643,0.003563087882819802,2.8463554656180396
all,-1,2019,2361,490,0.04580013671973263,-0.002437043431913524,0.4171961033460398,0.4723422278695468,-0.0019370434319135239,-0.00185794080440814,-0.0024699522910544636,-0.0011882242109417754,-5.363045470006973,-0.006586471833412889,0.386277001270648,0.45531554426090637,-0.0017931322446987543,-0.004936604435721414,-0.006101077503247982,-0.003690516320982255,-8.026826435768807,-0.008624634502720736,0.36933502753070735,0.43888182973316386,-0.003390315621948775,-0.0057512079882173685,-0.007405400209295652,-0.004246708269692067,-6.9319893560354355
all,-1,2020,3831,495,0.07667781507633999,0.004983325029967277,0.5719133385539024,0.49253458626990343,0.005483325029967278,0.005532154383070084,0.00431097352597231,0.006716489955493427,9.25171747528204,0.002647630363281468,0.5217958757504568,0.46144609762464106,0.00849678999867684,0.005586440132872253,0.0032813510640707904,0.007983942292331512,4.760901784543068,0.01041510360420209,0.5074393108848865,0.44406160271469586,0.007586275525500287,0.01606152870827681,0.01307523337357338,0.018943569561001898,10.09249469329661
all,-1,2021,3265,501,0.04635906056470227,-0.0007864787551930932,0.47258805513016844,0.49479326186830014,-0.00028647875519309274,-0.00042189702024537977,-0.0010512332418796436,0.00025600698975010807,-1.1800742483505275,-0.004742780759514205,0.422052067381317,0.47206738131699844,-0.0005053471200594045,-0.0026138989129703884,-0.0038217035860900017,-0.0013600832383407276,-4.0504551063386085,-0.0070878188781715755,0.41010719754977026,0.4642266462480858,-0.000975722491962776,-0.00409670330385443,-0.00558278744361463,-0.00261466707841651,-5.012967933843102
all,-1,2022,3116,503,0.05849702240657114,-0.004349286716445153,0.40789473684210525,0.49030808729139924,-0.003849286716445152,-0.0036936512563233498,-0.004598340712524392,-0.002837380258846547,-8.33219644745851,0.0003254137402957578,0.48106546854942234,0.48851091142490366,-0.0036331317377306487,0.0007282564446045108,-0.0009514881955230198,0.0023090569271935315,0.8986061090617634,0.0008273285282028973,0.5102695763799743,0.4894094993581515,-0.0052485392097108875,0.001194679251303884,-0.0008059689354978923,0.003066839070072125,1.1608774383827163
all,-1,2023,2871,506,0.0508762949006313,-0.0011081654727356776,0.48066875653082547,0.47673284569836294,-0.0006081654727356771,-9.107862243586802e-05,-0.0008365463011947889,0.000735235766416149,-0.2321318246485334,-0.003044166747501282,0.4559386973180077,0.4725182863113897,0.0004278489926777498,-0.0003447235784623544,-0.0016214292196088376,0.0011328225855538859,-0.49208657494822944,-0.0027418274504055493,0.4702194357366771,0.468234064785789,0.0018151807455824157,0.0007060966146881527,-0.0008206816524044792,0.002383813723428079,0.819183307897811
all,-1,2024,3149,511,0.05088699628559391,0.00047704484874860204,0.49825341378215304,0.4821848205779613,0.0009770448487486025,0.0012481481637560323,0.0005338045091071459,0.002002292327193907,3.3524167402779783,-0.0031106828952612623,0.46078120038107334,0.4683709114004446,-0.0006043337332052618,-0.0010221462204917005,-0.0022549127350279703,0.00028559913121350473,-1.4360908101241159,-0.005172626524884503,0.46205144490314387,0.4620832010161956,-0.001234189575387618,-0.001621512772403026,-0.0033851240147692173,4.329423200600674e-06,-1.8583080461914183
all,-1,2025,2955,514,0.06130408270708765,0.0024656043422199188,0.5472081218274112,0.48331641285956006,0.0029656043422199192,0.003304187020349104,0.0025473681942498124,0.0042869451471244605,7.611980543709497,-0.0019145272091872737,0.4622673434856176,0.4761421319796954,0.004240619611314027,0.00032993389106414616,-0.0008865280802864124,0.0019437224789380166,0.45767688047356403,0.00046022148870280194,0.4954314720812183,0.4614890016920473,0.0030754926222560344,0.004835114717963495,0.003324153216118881,0.006800811293326922,5.379377621397194
all,-1,2026,2571,513,0.06026537715840978,-0.002579209978856383,0.4500194476857254,0.4918319719953326,-0.002079209978856382,-0.0019199984136904844,-0.0028767791007163917,-0.0009323462487306286,-3.8771606205553653,-0.004283426787377597,0.4616880591209646,0.48343057176196036,-0.0009863874966285612,-0.0017821077359551885,-0.0034433854123748194,4.643757010530472e-05,-1.98046108360957,-0.0066518568871822914,0.45875486381322955,0.48241929210423967,0.00019938107964308184,-0.0026655356496309616,-0.004770907908199735,-0.0001194113813551204,-2.197771977196644
all,1,2016,395,267,-0.04298652152778238,-0.001981259291849419,0.4607594936708861,0.5131645569620253,-0.001481259291849419,-0.0019037890687876988,-0.0037184443985015894,-0.0003097217427078293,-1.9405459706904233,0.008842189655026568,0.6050632911392405,0.5339240506329114,0.003004545925169435,0.00780705253920822,0.004692211361487278,0.011138099390531273,4.710891690898997,0.01850042819445501,0.6556962025316456,0.5607594936708861,0.00531665849641438,0.015367748660502315,0.011142969020718815,0.01995819787521873,6.6545314235660475
all,1,2017,2598,480,-0.03586519718100343,0.0004717084639663523,0.5173210161662818,0.5051193225558123,0.0009717084639663528,0.0009026753976055432,0.00036421566672062563,0.0015754442113995347,3.0861347091851727,0.003121715143782658,0.5592763664357198,0.546189376443418,0.0012063570438456829,0.0015175114572261322,0.0006367215587581284,0.0026727204836906526,2.8970350434421674,0.004931684336239472,0.5769822940723633,0.5632024634334103,0.0014554028598136835,0.0017677867777338796,0.0005063394428688139,0.0030718951662073537,2.7356627549084953
all,1,2018,4255,483,-0.04227139730962528,-0.00042280382447390925,0.49612220916568744,0.5071445358401879,7.719617552609124e-05,-6.035333461679625e-05,-0.0007114418041478694,0.0005731113196075346,-0.17427623282377572,-0.0021460979741895763,0.4792009400705053,0.545123384253819,0.00017878764749645025,-0.003157133332165046,-0.004219812386104455,-0.0021210387853904857,-5.827196782777989,0.0026864065265770347,0.5440658049353702,0.5639717978848414,0.0009108246244061548,3.965536791521446e-05,-0.001304790832044873,0.0014210540234956845,0.05390700463341248
all,1,2019,2791,491,-0.042362377916068415,0.00040678355567413347,0.5403081332855607,0.5208527409530634,0.0009067835556741339,0.0005624669434901179,-6.316165158649983e-05,0.0011760833170987104,1.7166119077622488,0.006653853976893882,0.6141168040128986,0.5500895736295235,0.0012869260439831406,0.005090764218065904,0.003920207497996444,0.006360266686554613,7.803779660925891,0.006678308045347804,0.6141168040128986,0.5659261913292727,0.000884023947012361,0.004203706454478233,0.002440412164283268,0.005867058207162779,5.01416190676666
all,1,2020,3997,494,-0.0646235763611255,0.0015662825138042214,0.5228921691268451,0.5030773079809857,0.0020662825138042214,0.0017097941699308302,0.0005606445475427403,0.0028771104113419596,2.6465207687123407,-0.020027593816119037,0.42782086564923694,0.5364023017262948,0.001620781894167554,-0.02240985290250284,-0.02521849567127602,-0.02005832999916749,-16.72951201832539,-0.026586779562754216,0.4245684263197398,0.5629722291718788,-0.0006422098881013327,-0.03267555918088413,-0.03677095801726479,-0.028830803413353395,-16.742148851744414
all,1,2021,2954,502,-0.04330911784941855,0.0009030962163484258,0.5159106296547055,0.5029451591062966,0.0014030962163484263,0.0012144560929876268,0.000431567696311951,0.002061926005604638,3.157107102390411,0.0036840126207300953,0.5748138117806364,0.5340555179417739,0.0011856938871184707,0.0021462889362128825,0.0007379192414199243,0.0035464667335271963,3.1502240849924035,0.008273799506282115,0.5927555856465809,0.5437711577522004,0.0014139453656243656,0.0056699542478777076,0.003965187483470511,0.007216062590971287,6.810899505666641
all,1,2022,3521,503,-0.05615163163460885,-0.0027570686352962723,0.43709173530247086,0.5065322351604657,-0.002257068635296272,-0.0025145573164813665,-0.0034494450843594302,-0.0016692163684526226,-5.534458373592829,-0.003348097611431342,0.44930417495029823,0.5105651803464925,-0.002296058852343459,-0.0032414613753264094,-0.004865032990608731,-0.001624638719727041,-3.943381826368237,-0.004404271657576243,0.44731610337972166,0.5164725930133485,-0.0015653020238237498,-0.004393501611623014,-0.006481875205848475,-0.002443722916547816,-4.317389018810052
all,1,2023,2716,503,-0.0453051368185635,-0.00044423829337368847,0.4896907216494845,0.5111929307805597,5.576170662631198e-05,-0.000341774643233163,-0.0011131397238468776,0.00038445268649494983,-0.9176960118127373,0.0006346271607345314,0.5095729013254786,0.5331369661266568,-0.00213184231293596,-0.0010149074660974592,-0.002241551923721541,0.0002779959065786135,-1.56749184205769,0.0002124308698620836,0.4996318114874816,0.5414580265095729,-0.0033209363148463222,-0.002784409913001332,-0.00450997507813314,-0.0011491173767505958,-3.1548362414956466
all,1,2024,3021,510,-0.047590733740608425,-0.0013759539650993998,0.4710360807679576,0.5137702747434624,-0.0008759539650993993,-0.0010855550328839679,-0.001761284529829422,-0.00030719286063054136,-2.818684464888223,0.0011705563791529485,0.5302879841112215,0.5327375041377028,-0.00045883203465991264,-0.00015110221067618114,-0.0015193700386779186,0.0010922983213070767,-0.23733738195356927,0.0052492297483804394,0.5719960278053625,0.5527308838133068,-0.0007278341342795275,0.0013089188912037838,-0.00036682910281731553,0.0029091610817505065,1.537224246008206
all,1,2025,3308,514,-0.05771090748064924,-0.0003613711593731667,0.4951632406287787,0.5159310761789601,0.00013862884062683373,-0.00026266331818751264,-0.0012108131869361326,0.0006852417932515533,-0.5374191458994636,0.0005625724626927086,0.5139056831922612,0.5367896009673518,-0.00264092577594804,-0.001538797405845093,-0.00305715312252852,-0.00015687017781261918,-1.9269248120170366,0.004811384833201237,0.5589480048367593,0.5411729141475211,-0.0006931586962107285,0.001285865717397623,-0.0007687306053870492,0.0029472838943233387,1.3435344609283946
all,1,2026,2129,511,-0.05822141334449662,0.001968338112881114,0.5415688116486613,0.5104274307186473,0.0024683381128811142,0.0021926530620323573,0.0010572810073489131,0.0033502252641714986,3.8933552623459278,0.005904030631860011,0.5739783936120244,0.5192108971348051,0.003674301781841676,0.004392873360948856,0.002066356765573209,0.007053223573667867,3.684305467271279,0.007491703488762131,0.57022076092062,0.5215594175669329,0.005450617845133163,0.004262148323413165,0.0018323818426010648,0.006886938475181546,3.1471034632816046
