year,n,ret,hit,xloc,xloc_lo,xloc_hi,avg_r,pf,target_rate
2016,22.0,0.009852954169574428,0.5909090909090909,0.006546748303474722,-0.03065526014720612,0.04543793916160395,0.8896759987813908,3.6995478333201315,0.5454545454545454
2017,144.0,0.020083459913836907,0.6597222222222222,0.011751592016524339,0.001568999581622104,0.02227817729862981,0.3350953296588099,1.9062824210367972,0.4444444444444444
2018,173.0,-0.020260946214222784,0.3930635838150289,-0.024278251182590627,-0.035191829748591294,-0.012896414814662605,-0.28390274975311064,0.5542119067786255,0.24277456647398843
2019,221.0,0.018203617271401577,0.6425339366515838,0.014372951149760714,0.003772453270116799,0.02431781788887516,0.41979765591592294,2.036099179998111,0.34841628959276016
2020,118.0,0.031684345182136066,0.652542372881356,0.009307361339313688,-0.01597807223156251,0.03246510325367612,0.5355675540576011,2.546274204002225,0.4406779661016949
2021,151.0,0.019989731337972955,0.5761589403973509,0.008969611855345663,-0.002109201813672532,0.020319332127776035,0.24471942043119593,1.592595876780959,0.4768211920529801
2022,216.0,0.0033902905929881775,0.5324074074074074,0.009005598815867592,-0.0019107648742932358,0.021952864336018896,-0.19243934779368382,0.6674900590930885,0.32407407407407407
2023,197.0,0.029258299890645538,0.6395939086294417,0.026698317387748256,0.014270740789004368,0.03907811725478828,0.24041477072224296,1.6031487095903443,0.4263959390862944
2024,145.0,0.019156106661908433,0.5724137931034483,0.01508151327211537,0.0018541777330138864,0.028591857875055995,0.3358028960066959,1.8159101779867095,0.4689655172413793
2025,207.0,0.012529900819845344,0.5700483091787439,0.010969109218925676,-0.0022223747893201254,0.023513298723948365,0.19691393052316652,1.4516448464322456,0.3140096618357488
2026,123.0,0.023878172565185467,0.6097560975609756,0.01639017384060872,-0.004856764510243221,0.03436765624863898,0.4432296112532212,2.263581095624372,0.4701492537313433
