rule,period,n,mean_ret,hit,avg_r,pf,target_rate,stop_rate,avg_bars,ret_per_bar_bp
time 10,test,683,0.010977800868604613,0.575402635431918,,,0.0,0.0,9.956076134699854,11.026232343024926
time 10,train,1045,0.007750578153320332,0.569377990430622,,,0.0,0.0,10.0,7.750578153320332
time 10,all,1728,0.00902615287238235,0.5717592592592593,,,0.0,0.0,9.98263888888889,9.04185052955171
time 20,test,683,0.02097187417522137,0.6002928257686676,,,0.0,0.0,19.8199121522694,10.58121449484834
time 20,train,1045,0.010637458251534719,0.5712918660287082,,,0.0,0.0,20.0,5.3187291257673595
time 20,all,1728,0.014722183989890033,0.5827546296296297,,,0.0,0.0,19.928819444444443,7.3873838994482615
time 40,test,683,0.02914640981685378,0.5900439238653001,,,0.0,0.0,39.149341142020496,7.444929842144856
time 40,train,1045,0.014560753110834447,0.5598086124401914,,,0.0,0.0,40.0,3.6401882777086114
time 40,all,1728,0.02032580145007704,0.5717592592592593,,,0.0,0.0,39.663773148148145,5.124525438908232
time 60,test,683,0.042047680281945436,0.5973645680819912,,,0.0,0.0,57.87115666178624,7.265740432264518
time 60,train,1045,0.026070817064559337,0.5741626794258373,,,0.0,0.0,60.0,4.345136177426556
time 60,all,1728,0.032385746218190535,0.5833333333333334,,,0.0,0.0,59.15856481481482,5.4743968721297165
pattern target / pattern stop (60),test,683,0.024744671722316654,0.5475841874084919,0.28740493746181334,1.7127134888405549,0.40995607613469986,0.37920937042459735,26.7891654465593,9.23682067352149
pattern target / pattern stop (60),train,1045,0.011734914791177727,0.48995215311004786,0.16238873839138337,1.3473315592802786,0.3722488038277512,0.45167464114832534,26.679425837320576,4.398488506736271
pattern target / pattern stop (60),all,1728,0.01687708144856655,0.5127314814814815,0.21178679619325663,1.479010384244971,0.3871527777777778,0.4230324074074074,26.722800925925927,6.315610962843623
pattern target / 2 ATR stop (60),test,683,0.017113660020899393,0.4465592972181552,0.3210801800702058,1.5901879044914793,0.3557833089311859,0.5285505124450952,20.226939970717424,8.460825041096117
pattern target / 2 ATR stop (60),train,1045,0.011356269140360493,0.41244019138755983,0.22437297144280297,1.3888869076094397,0.33588516746411484,0.5684210526315789,20.584688995215313,5.5168524251205024
pattern target / 2 ATR stop (60),all,1728,0.013631904540480902,0.42592592592592593,0.2625969433713424,1.4656422888315217,0.34375,0.5526620370370371,20.443287037037038,6.668156894624639
no target / pattern stop (20),test,683,0.018483266506069674,0.5431918008784773,0.25835390424698557,1.7839078091453513,0.0,0.26939970717423134,16.85212298682284,10.967915745999642
no target / pattern stop (20),train,1045,0.010710835360755747,0.5177033492822967,0.15174138810435636,1.432460117472142,0.0,0.2985645933014354,16.71291866028708,6.408716262232898
no target / pattern stop (20),all,1728,0.013782924754418602,0.5277777777777778,0.1938675387470407,1.5661025335234264,0.0,0.28703703703703703,16.767939814814813,8.21980810203118
no target / 2 ATR stop (20),test,683,0.014617179758401336,0.49194729136163984,0.2936147734304129,1.6401767526676305,0.0,0.43191800878477304,14.783308931185944,9.88762382389632
no target / 2 ATR stop (20),train,1045,0.0106581341663809,0.47942583732057414,0.19593686168084312,1.4154972644908015,0.0,0.44976076555023925,14.74066985645933,7.23042729412363
no target / 2 ATR stop (20),all,1728,0.012222965265541756,0.484375,0.23454450851241496,1.502814729359886,0.0,0.4427083333333333,14.757523148148149,8.282531657133505
no target / 3 ATR stop (40),test,683,0.023920366660213552,0.493411420204978,0.27008723804750634,1.6158303794223938,0.0,0.40995607613469986,29.37042459736457,8.144372098168423
no target / 3 ATR stop (40),train,1045,0.012428586160290852,0.46507177033492825,0.14129024117390973,1.2976227493774184,0.0,0.44880382775119615,29.457416267942584,4.219170495891869
no target / 3 ATR stop (40),all,1728,0.0169707656055728,0.47627314814814814,0.1921978504705917,1.417423244229536,0.0,0.43344907407407407,29.42303240740741,5.767850631636566
+2 ATR target / 2 ATR stop (20),test,683,0.007302367210934951,0.5724743777452416,0.13689718285502328,1.343188664125132,0.5168374816983895,0.3821376281112738,8.790629575402635,8.306990015104216
+2 ATR target / 2 ATR stop (20),train,1045,0.0059704370284441866,0.5636363636363636,0.11327875397930606,1.2807341124268468,0.4909090909090909,0.39043062200956935,8.97511961722488,6.65220886525661
+2 ATR target / 2 ATR stop (20),all,1728,0.006496888599417099,0.5671296296296297,0.12261404733701144,1.305248186986427,0.5011574074074074,0.3871527777777778,8.902199074074074,7.298071572380385
