,pattern all,random-shift all,pattern test,random-shift test
days,2464.0,2510.0,916.0,919.0
cagr,0.11227972943499931,0.12583773495074602,0.146138435213089,0.15920198715908995
vol,0.20187769701207148,0.19732398263506612,0.1818526679118588,0.16753203211005407
sharpe,0.6333685798708208,0.7007696026164373,0.845996064668047,0.9688642684703442
max_drawdown,-0.39026938201037675,-0.34523955283967567,-0.17771970121690195,-0.17025833970532522
total_return,1.8567822202605817,2.2646899643573084,0.6475465885113378,0.7173343818518825
share_of_days_invested,0.9572649572649573,0.963531669865643,0.9581589958158996,0.9612970711297071
bench_total_return,2.57179869431013,3.083020295607467,1.0866845067175612,1.0832248129504682
bench_sharpe,0.8336937415647769,0.8760083655238606,1.4225838988394441,1.415909932234451
