,n,ret,hit,xloc,xloc_lo,xloc_hi,avg_r,pf,target_rate
train,1045.0,0.010637458251534716,0.5712918660287082,0.004986059172237798,-0.0007290653206594657,0.010187137133328082,0.1623887383913834,1.3473315592802784,0.3722488038277512
test,672.0,0.020940811368541208,0.5982142857142857,0.017459799018683962,0.009844485696403145,0.024371597685940157,0.28740493746181334,1.7127134888405544,0.40995607613469986
all,1717.0,0.014669987834894276,0.5818287711124054,0.009868035396356507,0.005632873259750825,0.014439098098885427,0.21178679619325663,1.4790103842449709,0.3871527777777778
