entry,period,n,mean_ret,hit,share_of_signals
signal close,test,672,0.02174794194971757,0.6011904761904762,0.9838945827232797
signal close,train,1045,0.010999524146564722,0.569377990430622,1.0
signal close,all,1717,0.015206243286761992,0.5818287711124054,0.9936342592592593
next open,test,672,0.02094081136854122,0.5982142857142857,0.9838945827232797
next open,train,1045,0.01063745825153472,0.5712918660287082,1.0
next open,all,1717,0.014669987834894281,0.5818287711124054,0.9936342592592593
retest (within 5 bars),test,518,0.020837238939294508,0.5984555984555985,0.7584187408491947
retest (within 5 bars),train,835,0.00832072948426927,0.555688622754491,0.7990430622009569
retest (within 5 bars),all,1353,0.013112711670302585,0.5720620842572062,0.7829861111111112
