period,days_in,days_out,mean_bp_in,mean_bp_out,t_diff,strategy_ann,strategy_sharpe,buy_hold_ann,buy_hold_sharpe,share_invested
all,842,1669,8.965847571910297,6.636841609527666,0.4885402621192312,0.06057318948053547,0.6432630803167685,0.18454451036984842,1.0009529583745143,0.3353245718837117
train,532,1059,10.355183657107322,5.164826020942153,0.783491464062617,0.07170422455691305,0.688361408541889,0.164598887319239,0.8417734764939997,0.3343808925204274
test,310,610,6.581567580539915,9.192357196924481,-0.4219244346935848,0.041595908342202836,0.559470942557481,0.219846959485686,1.4312962786924237,0.33695652173913043
