period,portfolio,n,ann_return,ann_vol,sharpe,t_stat,hit,max_drawdown,mean_period,total_return,turnover
all,G1,116,0.40119740230748135,0.33677819389994507,1.1774520605289935,3.6608472284647995,0.6724137931034483,-0.4124291077507334,0.033045014862393605,25.071146329587744,0.22001014994857357
all,G2,116,0.2237679680186282,0.22388148181684575,1.0209470530352307,3.1742533855978556,0.7068965517241379,-0.31401092281094,0.01904759492417244,6.0430015974177,0.45514114266396216
all,G3,116,0.1651526614420178,0.2027102846651584,0.8605885711413259,2.6756786039304123,0.646551724137931,-0.31514093187499415,0.01453751285297001,3.3822858721554168,0.5771816743938956
all,G4,116,0.14063066461190488,0.18694236372243309,0.8019601525221626,2.493395442682377,0.6637931034482759,-0.29944571555431265,0.012493360543641337,2.5678129848270497,0.6374715271994006
all,G5,116,0.13948097430793105,0.189305118013855,0.7894278819061673,2.4544310298719516,0.6896551724137931,-0.3047340264589834,0.012453561528972883,2.5332016375491375,0.6695520894034005
all,G6,116,0.13103257223932196,0.16888726610400634,0.8179975592844229,2.5432577666491007,0.6637931034482759,-0.2515174901414995,0.01151244762227467,2.2879566632412285,0.6776043348373832
all,G7,116,0.12151626426063866,0.1602515892590955,0.7996959139735528,2.486355638945877,0.646551724137931,-0.25892168794070425,0.010679378428188897,2.0300786574706104,0.6781820460138455
all,G8,116,0.08926066271129263,0.14951081413504666,0.6498490528250853,2.0204628143301027,0.646551724137931,-0.2730042677626008,0.008096621746063955,1.2852879297883186,0.6564992462502242
all,G9,116,0.10850863245916664,0.1413672777370259,0.8027259197312621,2.4957763096909424,0.646551724137931,-0.2249363341370858,0.009456598170113241,1.706934633308323,0.5854059813580604
all,G10,116,0.11438633229664874,0.13362244427075065,0.8806841906139985,2.7381584239731622,0.6724137931034483,-0.22168013643409223,0.009806597848370848,1.8489129340197676,0.3250013659309877
all,universe,116,0.18081550802168556,0.17510632249389735,1.0436541921533582,3.2448527501865208,0.6982758620689655,-0.2715154651321964,0.015229203961942824,3.9860863987909383,
all,long_short,116,-0.2895742520933794,0.2992669515530651,-0.9671014118459558,-3.0068404836881957,0.4051724137931034,-0.9630080956709659,-0.02411845761381705,-0.9632987631427193,
all,long_short_gross,116,-0.27990405091025405,0.29923255685188455,-0.9234998286683082,-2.8712776524839625,0.41379310344827586,-0.9582038359445476,-0.023028434582057934,-0.9581745885407479,
all,top_minus_universe,116,-0.06851612846687183,0.1066384248129279,-0.6102047500890607,-1.8972036680253332,0.45689655172413796,-0.4954177932743693,-0.005422606113571981,-0.4964666007245718,
all,bottom_minus_universe,116,0.21052127681830846,0.2102842702567594,1.0166701034954717,3.160955809081767,0.6551724137931034,-0.3412407938612645,0.017815810900450778,5.3396721127613676,
train,G1,73,0.2692554068872892,0.35048755744885424,0.854748498107741,2.1081871089531132,0.684931506849315,-0.4124291077507334,0.024964892777904896,3.2650410739090985,0.22859543817527012
train,G2,73,0.20075382462239055,0.254272428321924,0.851269696578531,2.099606848730694,0.6986301369863014,-0.31401092281094,0.018037867742157543,2.043301896281564,0.4578767123287671
train,G3,73,0.15370919816720674,0.23062146827649094,0.7393428023755272,1.823545719607553,0.6438356164383562,-0.31514093187499415,0.014209026886958296,1.3864526786889324,0.5817530984996738
train,G4,73,0.13754429653249578,0.2106362024819715,0.7214384428503748,1.7793856654763667,0.6712328767123288,-0.29944571555431265,0.012663421160542485,1.1901503540861622,0.6491975084991735
train,G5,73,0.1348502850179687,0.21579841629128174,0.6988952098251114,1.723784101550605,0.684931506849315,-0.3047340264589834,0.012568373286151844,1.1587862370294286,0.6822290148936286
train,G6,73,0.1330198068156565,0.18719167093646466,0.7652059361047026,1.887335624176774,0.684931506849315,-0.2515174901414995,0.011936681482495074,1.1376903855465574,0.6839879787531451
train,G7,73,0.12677285229343283,0.179197052011427,0.7595702049139346,1.873435423272994,0.6575342465753424,-0.25892168794070425,0.011342728459691052,1.0669879601736207,0.6748433809548301
train,G8,73,0.10634007169942583,0.16851867653790983,0.6880157909249043,1.6969506520282092,0.6575342465753424,-0.2730042677626008,0.00966195921032068,0.8492228193739013,0.6691349827602273
train,G9,73,0.12775941790108325,0.15317383553824687,0.8656404584887741,2.135051491303426,0.684931506849315,-0.2249363341370858,0.01104945576865101,1.0780220296238379,0.5963421395955643
train,G10,73,0.1271629369549241,0.1466565926973321,0.8931476695828695,2.2028964164015155,0.684931506849315,-0.22168013643409223,0.010915499499715521,1.0713449266104549,0.3299232432699107
train,universe,73,0.17049028340107908,0.19866399949564897,0.8973571337111487,2.213278813130477,0.684931506849315,-0.2715154651321964,0.01485604642991739,1.6055786966203773,
train,long_short,73,-0.20306394217306722,0.29121432635164557,-0.6166087452505947,-1.5208293561004917,0.4246575342465753,-0.7663914726736561,-0.01496377503089045,-0.7486226446921952,
train,long_short_gross,73,-0.192016306959522,0.29104426871971206,-0.5709126407021642,-1.4081225905997095,0.4383561643835616,-0.7531083662237082,-0.013846737668000094,-0.7266625588253712,
train,top_minus_universe,73,-0.05226962290096471,0.11214726314496003,-0.4216470543850936,-1.0399677642611773,0.4657534246575342,-0.30624643279306696,-0.003940546930201864,-0.2786170506291191,
train,bottom_minus_universe,73,0.10884384034532091,0.1926809000877641,0.6295702174974086,1.5527980682588396,0.6438356164383562,-0.3412407938612645,0.01010884634798751,0.8748284225694949,
test,G1,43,0.6573527430517756,0.310313643283851,1.8083290542913542,3.4231116527894287,0.6511627906976745,-0.16661656786086387,0.046762431424432586,5.112753869845477,0.20543512574976322
test,G2,43,0.2638530518398112,0.16231982805853928,1.534879614832612,2.90548021815721,0.7209302325581395,-0.15739283985419028,0.020761782930848884,1.3142632040623843,0.4504970360237117
test,G3,43,0.18484045112582725,0.1460472863536302,1.240297614660625,2.3478454917241316,0.6511627906976745,-0.14177768013498682,0.015095175074338735,0.8363179422283593,0.569420884632923
test,G4,43,0.14588950009453017,0.14010371976755243,1.0453386680923245,1.9787941621390812,0.6511627906976745,-0.12219773844633941,0.012204652984716128,0.6290265086917806,0.6175646287137394
test,G5,43,0.14738568608550384,0.1352416857320906,1.0877103590801813,2.0590024786646177,0.6976744186046512,-0.13035544269471566,0.01225864854585511,0.6366611834671307,0.6480307972920832
test,G6,43,0.1276668729991366,0.13423302643118415,0.9647911787913377,1.8263202257308706,0.627906976744186,-0.11061398029442038,0.01079223665027258,0.5380883431351435,0.6667669858641132
test,G7,43,0.11264838289794765,0.12346118392323485,0.9285405254238033,1.757698846414336,0.627906976744186,-0.11370606669608485,0.00955322604912711,0.46593919067438283,0.683850012276825
test,G8,43,0.06086698604032459,0.11128738013798939,0.5865019055818457,1.110230188812169,0.627906976744186,-0.09968856522606173,0.005439188376511835,0.23580993368990466,0.6350478796169632
test,G9,43,0.07657655445423917,0.11981785817417988,0.6762709341153036,1.2801602172565147,0.5813953488372093,-0.09640576245805776,0.006752444572595633,0.3026496325442376,0.5668399452804377
test,G10,43,0.09302657576310791,0.10930810396292444,0.8699128713994249,1.6467184885030914,0.6511627906976745,-0.06007723389095754,0.00792404388213454,0.3753928172077665,0.31664562068118834
test,universe,43,0.19855337209325263,0.12763181981771113,1.4914184234772623,2.8232095107217705,0.7209302325581395,-0.09848982924733463,0.015862703958172065,0.9136195752821634,
test,long_short,43,-0.4154837115256872,0.3084296849624419,-1.5430471181835785,-2.9209410524719286,0.37209302325581395,-0.8687383174724799,-0.03966012804529709,-0.8539994312043703,
test,long_short_gross,43,-0.407776157629135,0.30856827386719654,-1.5017473858270323,-2.8427619208856254,0.37209302325581395,-0.8632085414397115,-0.03861596655243518,-0.8469825016305361,
test,top_minus_universe,43,-0.09546220319005272,0.0972253594962781,-0.979825854139394,-1.8547804068343623,0.4418604651162791,-0.3302841707023588,-0.007938660076037529,-0.3019887707152482,
test,bottom_minus_universe,43,0.40493840391292224,0.23257395876821163,1.5943174874736097,3.017994295156402,0.6744186046511628,-0.18650468919001706,0.03089972746626051,2.3814678913778704,
