period,dir,regime,n,avg_gap,avg_day_ret,net_1,hit_1,xspy_1,xloc_1,t_1,net_5,hit_5,xspy_5,xloc_5,t_5,net_10,hit_10,xspy_10,xloc_10,t_10,net_20,hit_20,xspy_20,xloc_20,t_20,net_40,hit_40,xspy_40,xloc_40,t_40,net_60,hit_60,xspy_60,xloc_60,t_60
all,-1,above_ma200,682,-0.07252515517824157,-0.0777632456999921,-0.0020362555259690316,0.46920821114369504,-0.0003384992098428392,0.0012761036792265223,1.0488135125848177,0.00010228916403968224,0.5190615835777126,0.003010536824708818,0.009161638468532182,3.8472113477805885,-0.0035172645722397473,0.49853372434017595,0.0013030054403077005,0.014295998911744526,4.590680815051979,-0.008025997580962065,0.5131964809384164,-0.0006538284129235192,0.028239269898182987,5.5872544721817965,-0.016552242068026246,0.4809384164222874,-0.001760772529670093,0.06171549747467434,7.636380832721564,-0.03848393514179227,0.4662756598240469,-0.010020100301613747,0.07946723234404184,6.558216001836568
all,-1,below_ma200,1322,-0.09447481032795098,-0.11089233364394452,-0.002868333096161551,0.4833585476550681,-0.0006386951288080212,-0.0012353881586577656,-1.0719836931585154,-0.0035412373959852425,0.4863842662632375,0.000202249114563545,-0.000967120797587404,-0.43217567909596116,-0.008861385905098057,0.43116490166414523,-0.0019185880229431306,-0.004498821274915518,-1.5847434785988872,-0.023039555962305447,0.42133131618759456,-0.007608310138458608,-0.017645704957266202,-4.712881438558805,-0.035863558287084776,0.4198184568835098,-0.012144956829591389,-0.03005139110473052,-5.573335811873744,-0.06895915861090054,0.3600605143721634,-0.02545338670871585,-0.05731803711098699,-8.621101008343468
all,1,above_ma200,1404,0.09585212033658172,0.11173323296613322,0.0009139385970537221,0.48717948717948717,0.0008474082257129389,0.0004430712228549606,0.4588934373592256,0.0040709244303494966,0.5299145299145299,0.0009480903053646377,-0.0019789184709788177,-1.2392657129230364,0.011281553156759296,0.5541310541310541,0.006745633665643464,-0.000603709782779169,-0.25568785358130214,0.020521272661743046,0.5584045584045584,0.010917022291342107,-0.005184253064708808,-1.4408168333129743,0.03420562118296232,0.5854700854700855,0.014590260215759937,-0.01964589668590981,-3.6111001935514846,0.058439784706865096,0.6239316239316239,0.024285180110101903,-0.0208371286755968,-2.664597667465365
all,1,below_ma200,312,0.09681177217110287,0.08740652266841209,-0.000906973405989459,0.46794871794871795,-3.554294427630054e-05,0.0006901746752563762,0.2601414769764992,0.006364653163620901,0.5288461538461539,0.003205813151622693,0.008288767500235153,1.5135967846216043,0.01652915665198926,0.5833333333333334,0.006740387490867216,0.02055955778764516,3.625756131924397,0.02539268078586285,0.5833333333333334,0.011000848778370166,0.033050963433871226,4.013647051416505,0.03350808615056831,0.5833333333333334,0.007804074373154408,0.05330687051557783,3.9880997386119716,0.08005625604238702,0.6057692307692307,0.03693391209466654,0.10923247832592935,4.927663788242537
train,-1,above_ma200,366,-0.06558824808783079,-0.06708216680290559,9.17180302562106e-05,0.48633879781420764,0.0011425716492108316,0.003202411575363894,2.0986999821685832,0.0062639134397707505,0.5437158469945356,0.007560797611964543,0.014235807749900974,4.6288887154036855,0.0063703642277136785,0.5163934426229508,0.00706104015794286,0.023567250080817195,5.787191966542605,0.0033753898114545315,0.5273224043715847,0.006043037258485837,0.03580167471497473,5.81324243156971,-0.005814125817195214,0.4781420765027322,0.002555720034633487,0.05606615402758153,5.7503759512142425,-0.028098945668226686,0.45081967213114754,-0.004628092108639876,0.06430108076051214,5.1781755908732885
train,-1,below_ma200,725,-0.09109282172558315,-0.10667046599804857,-0.0031305268449594746,0.4979310344827586,-0.0004174174672161723,-0.0020575474320828967,-1.1742126055400244,-0.0028617553861694,0.49517241379310345,-0.002658335643571507,-0.002019160872926051,-0.5720422821461408,-0.007763558483306603,0.4289655172413793,-0.004571103610100364,-0.005327779987260579,-1.2440928207193076,-0.023953790381580357,0.416551724137931,-0.014228061003640656,-0.020698966553318425,-3.833567797185381,-0.035271963469125915,0.4220689655172414,-0.023926276991874846,-0.033154204103729455,-4.12121488057225,-0.07348296987061556,0.36137931034482756,-0.04424109085669362,-0.06641002142650203,-7.069171537269702
train,1,above_ma200,734,0.09102950568374017,0.10524417791128911,0.0007416928482045088,0.48365122615803813,0.0011816794670528271,0.0008746758526517382,0.7468204110229115,0.0031576184038332126,0.5572207084468664,0.0010745747155658965,-0.00048262455887006803,-0.2367966605307749,0.00744509118906359,0.5667574931880109,0.005677777411147267,-0.0014931464711293778,-0.5186928150639754,0.01197591317925027,0.5722070844686649,0.0074969385121807395,-0.008847368694454448,-1.9351079681135688,0.023060886596790283,0.5899182561307902,0.009030282424142055,-0.021039364809076304,-3.320397322055488,0.04430174516901274,0.6362397820163488,0.017145444376191036,-0.01635112147930708,-1.8716797589408989
train,1,below_ma200,196,0.09435995259265627,0.0897318465432497,-0.00024114367206787222,0.4744897959183674,0.002066472710791105,0.0008238843449211679,0.23332982639879163,0.0013730976798383495,0.5153061224489796,0.00020202500719372374,0.0023517726919955076,0.30926118076845177,0.01300099257047458,0.5816326530612245,0.005204804887442374,0.018145618134021605,2.453133589437387,0.01930859834514475,0.576530612244898,0.009343075048779561,0.024504474118949366,2.2673386907093884,0.0159476669509913,0.576530612244898,0.0008259004858911665,0.02935956252295858,1.9312863638792745,0.04577493554452948,0.5918367346938775,0.014317628580690708,0.06768789065635501,4.1636841286941095
test,-1,above_ma200,316,-0.08055967415004647,-0.09013436872636445,-0.0045009337588121905,0.44936708860759494,-0.0020539167238100655,-0.0009508064045246435,-0.4909425644019986,-0.007034275661648835,0.49050632911392406,-0.0022597019352139512,0.003298153965617135,0.895815511306901,-0.014969391600033903,0.4778481012658228,-0.005366110719991249,0.0035825531163716736,0.7586240074668177,-0.021231401965849644,0.49683544303797467,-0.008410324728543217,0.01949674458450336,2.3680837354370436,-0.028989427345887504,0.48417721518987344,-0.0067602544237685405,0.06822569325656228,5.134581244750134,-0.050512119152314426,0.48417721518987344,-0.01626527434790627,0.09710454600667702,4.443356137918496
test,-1,below_ma200,597,-0.09858191541457857,-0.11601939234289685,-0.0025499236022277247,0.4656616415410385,-0.0009074159071230802,-0.0002247883047362123,-0.16047945161803132,-0.004366403990820228,0.47571189279731996,0.0036761585779603837,0.0003181125939430586,0.12843546704712572,-0.010196830335968533,0.4338358458961474,0.00130804587083035,-0.0034861170611877102,-0.9887179920925724,-0.021929304783118997,0.4271356783919598,0.0004307507949701756,-0.013921963618837649,-2.745723843037376,-0.036581994205041525,0.41708542713567837,0.0021623415249404517,-0.026228471334632866,-3.839482956531007,-0.06346541796886807,0.35845896147403683,-0.0026374980867998068,-0.04619191393166182,-4.9750373550964415
