period,dir,n,avg_gap,avg_day_ret,net_1,hit_1,xspy_1,xloc_1,t_1,net_5,hit_5,xspy_5,xloc_5,t_5,net_10,hit_10,xspy_10,xloc_10,t_10,net_20,hit_20,xspy_20,xloc_20,t_20,net_40,hit_40,xspy_40,xloc_40,t_40,net_60,hit_60,xspy_60,xloc_60,t_60
all,-1,2004,-0.0870049177071417,-0.09961786359515433,-0.0025851609889403445,0.4785429141716567,-0.0005365326454076949,-0.00038097611129713063,-0.43994331190245123,-0.0023012747642801533,0.49750499001996007,0.0011579637943634831,0.0024854030687254474,1.4735374736476377,-0.007041769954519242,0.4540918163672655,-0.0008216700289655637,0.0019076460477462144,0.883137524752811,-0.01793015136346503,0.45259481037924154,-0.005241565359608843,-0.002043430734695082,-0.6703388381946904,-0.02929154348598801,0.4406187624750499,-0.0086110178612549,0.0012768820356705347,0.2775395603542723,-0.058587850025106206,0.3962075848303393,-0.020201140536238987,-0.01076015504911946,-1.7378797932122465
all,1,1716,0.09602660248831284,0.10731019473018392,0.0005828636874095073,0.4836829836829837,0.0006868716493512592,0.000488091840067247,0.5274167208490541,0.004487966018217025,0.5297202797202797,0.0013585853683206475,-0.0001010526001373243,-0.06136212638095622,0.012235662883164744,0.5594405594405595,0.006744679815684148,0.003256650122333651,1.4814373589259546,0.02140698322976483,0.5629370629370629,0.010932263470801753,0.0017758218061911045,0.5346844801689644,0.03407879663161795,0.585081585081585,0.013356408244377114,-0.006260462703807946,-1.2230783356221837,0.06237005222241454,0.6206293706293706,0.02658494956184092,0.002930765211731166,0.38252935947301453
train,-1,1091,-0.08253675027607137,-0.09338969834871555,-0.002049553770414158,0.4940421631530706,0.00010591527028362913,-0.0003010017837818981,-0.236025725850249,0.00019965138770236513,0.5114573785517873,0.0007698978775340791,0.0034290974868428584,1.3328433758750462,-0.003022022541754428,0.458295142071494,-0.0006688445641756899,0.004357110385465301,1.368749310389745,-0.014785614441478826,0.4537121906507791,-0.007427674235594556,-0.0017959870322212666,-0.42572918666128257,-0.025389682460320563,0.44087992667277726,-0.015042307320287267,-0.0033044437335304796,-0.5166960713039059,-0.058257898506661084,0.3913840513290559,-0.03095203719785982,-0.022598933768976093,-2.922641921468667
train,1,930,0.09173140632260851,0.10197491237565931,0.0005345574095234478,0.4817204301075269,0.0013681520216471308,0.0008639219503635061,0.7278773159209825,0.002781525864152575,0.5483870967741935,0.000890682518962729,0.00011636570983137102,0.05124401872334241,0.008616012340414723,0.5698924731182796,0.005578097180344945,0.0026570935434667986,0.9602623297354603,0.013521296289481791,0.5731182795698925,0.007886016750001565,-0.0017914717415642193,-0.41764227270087684,0.021561756434879956,0.5870967741935483,0.0073011868758655245,-0.010356983472394995,-1.7327117632100282,0.044612224000842075,0.6268817204301075,0.01654947459563398,0.0014087569023034272,0.1811240889535644
test,-1,913,-0.09234420649936265,-0.1070602823069448,-0.003225191082491352,0.4600219058050383,-0.0013042332763159472,-0.0004772464258143598,-0.4206830466376113,-0.005289785642498037,0.48083242059145676,0.0016216876884060684,0.0013542196933661653,0.6571793564197352,-0.011850480949394691,0.44906900328587074,-0.001004490842656082,-0.0010284668338905734,-0.3638522860905583,-0.02168775243891624,0.45125958378970427,-0.0026292490576368707,-0.002339762320990986,-0.5315600983859237,-0.03395411783319851,0.4403066812705367,-0.0009258735022140288,0.006793794865396509,1.0298609546885256,-0.058982129440904266,0.4019715224534502,-0.00735423116293304,0.0034778446073194208,0.3491891812342071
test,1,786,0.1011087048217798,0.1136229333939344,0.0006400199704044633,0.4860050890585242,-0.00011922344764003948,4.146018641194936e-05,0.02851546809073785,0.006507036429514656,0.5076335877862596,0.0019122108771029175,-0.0003579251980153977,-0.14971491200233455,0.01651845551008271,0.5470737913486005,0.008124987513986257,0.003965919374137476,1.1295806103957708,0.03073737617437453,0.5508905852417303,0.01453660119388594,0.005996735591083533,1.158223950446035,0.048889035032338476,0.5826972010178118,0.020520983146051133,-0.0013974961140013839,-0.16137041902168975,0.08338122301893157,0.6132315521628499,0.03845898482720028,0.0047382731393568675,0.33865631348088693
