period,days_in,days_out,mean_bp_in,mean_bp_out,t_diff,strategy_ann,strategy_sharpe,buy_hold_ann,buy_hold_sharpe,share_invested
all,842,1669,8.290569509649579,5.24231035063828,0.6520805623681734,0.054519154082607324,0.5846170900797972,0.1521528509502097,0.8782915682015653,0.3353245718837117
train,532,1059,8.605333291166671,3.170187661493359,0.8472851659118551,0.05605706518629239,0.5551330446334631,0.11247183900733604,0.644941728110345,0.3343808925204274
test,310,610,7.750394245884765,8.839651215891513,-0.17225533380020389,0.051864854490213386,0.6739148856703686,0.2241443369042524,1.4231304820274482,0.33695652173913043
