period,portfolio,n,ann_return,ann_vol,sharpe,t_stat,hit,max_drawdown,mean_period,total_return,turnover
all,G1,519,0.195266083859158,0.25444144925351503,0.8286482379652229,2.6178949679407313,0.5703275529865125,-0.46927569702950556,0.0040546626651777485,4.931386990096204,0.851587875383007
all,G2,519,0.09484296178484009,0.20884308356732506,0.5394915740981825,1.704380957287849,0.5761078998073218,-0.4289638942463817,0.0021667131517933555,1.470367371118265,0.8980177352374148
all,G3,519,0.08250718833893012,0.19007281886812888,0.512423135726318,1.61886538462734,0.5645472061657033,-0.385040811951045,0.0018730328819374438,1.206204463589668,0.8946091954112882
all,G4,519,0.0683508914457236,0.18110835686781374,0.45602428371846604,1.4406881266492857,0.5529865125240848,-0.3826320891491398,0.0015882655522321746,0.9345812602890313,0.893745473852552
all,G5,519,0.07001733527298315,0.17589865343348823,0.4733583195054137,1.4954504286511385,0.5722543352601156,-0.36749543476718105,0.0016012132883180994,0.9649112048107573,0.8884872723327842
all,G6,519,0.06893356913012005,0.1625477243816745,0.49219015514950687,1.5549446332014505,0.5529865125240848,-0.3136364807871418,0.0015385459554349164,0.9451379877594233,0.8876443638044588
all,G7,519,0.06418595807378447,0.17218446672255033,0.44850743365371315,1.41694062673593,0.5529865125240848,-0.3535635116975886,0.0014851156400916199,0.8606113820408681,0.8909584946396769
all,G8,519,0.032762712977957964,0.17361796776461846,0.2733626123129524,0.8636168815787009,0.5472061657032755,-0.37228400314099475,0.0009127050233192707,0.3795462205456468,0.8956646662843101
all,G9,519,0.03688555357870449,0.1791201786111549,0.292973486367943,0.925572251967884,0.5529865125240848,-0.324506833175245,0.0010091819847415136,0.43550834403930905,0.8962375225579101
all,G10,519,0.055322094561747415,0.20268274284136187,0.36894979965592267,1.165599321509107,0.5664739884393064,-0.3983158808084929,0.0014380722570198725,0.7115933698560095,0.8477980558434993
all,universe,519,0.1820246147414124,0.18059909907839022,1.01821979622088,3.216796173162381,0.5915221579961464,-0.36445821572528125,0.003536338035793713,4.307237721747332,
all,long_short,519,-0.2807573909322558,0.17272440414425347,-1.8132526255080141,-5.72849214713707,0.3448940269749518,-0.962384498227272,-0.006022941909689903,-0.9627173757585973,
all,long_short_gross,519,-0.1409448130133506,0.17258251040745584,-0.7906759620899753,-2.497931604259217,0.44508670520231214,-0.8091989724136601,-0.002624170047236891,-0.7804772825180949,
all,top_minus_universe,519,-0.10776831648671437,0.09759652310832842,-1.1179683150713469,-3.5319252395071,0.4161849710982659,-0.7263880112298647,-0.0020982657787738403,-0.6795732502045919,
all,bottom_minus_universe,519,0.021141284263841653,0.11025657900345028,0.2444559859518804,0.7722940400837199,0.48747591522157996,-0.21819740208079486,0.0005183246293840353,0.23220685663530616,
train,G1,329,0.17882171264965785,0.27219668020876814,0.7402514130271246,1.8619821883534564,0.5835866261398176,-0.46927569702950556,0.003874884175881404,1.8316971280087095,0.8520793535677221
train,G2,329,0.10098465685320823,0.22550371570502079,0.5402534798494384,1.3589198736710377,0.5896656534954408,-0.4289638942463817,0.00234286859862723,0.8380057293537182,0.8993207012482286
train,G3,329,0.09232111206719895,0.20659737132533393,0.5305275681030288,1.334455922480108,0.574468085106383,-0.385040811951045,0.0021078000189559197,0.7483950692329928,0.8941943085729467
train,G4,329,0.09367418170650366,0.19773117351572392,0.5519747304035455,1.3884027755242434,0.5531914893617021,-0.3826320891491398,0.0020988963691099694,0.7621429258521404,0.8984430956853947
train,G5,329,0.05480794696897151,0.19181829629369312,0.374566846257191,0.9421620598150231,0.5623100303951368,-0.36749543476718105,0.001381707198022232,0.4015747850591316,0.8881285170085623
train,G6,329,0.057269415222942266,0.17549146823921397,0.40583560276271136,1.020813537732711,0.5440729483282675,-0.3136364807871418,0.0013696285729341273,0.42239713164745707,0.889368141921171
train,G7,329,0.06654137068945198,0.18572232260919433,0.44101586731887,1.10930377879454,0.5653495440729484,-0.3535635116975886,0.0015751248304994002,0.5031862519184209,0.8926794539533294
train,G8,329,0.024568324073973802,0.18668904530447872,0.22442427396469652,0.5645028072929992,0.5623100303951368,-0.37228400314099475,0.0008057221817234611,0.16598139665540934,0.894608779125134
train,G9,329,0.010673416390040602,0.19194725039988833,0.1526558674956752,0.3839810383640257,0.5623100303951368,-0.324506833175245,0.0005634975773693181,0.06947945687880397,0.8955918637907211
train,G10,329,-0.020161590644675598,0.21217353272111972,0.01277587240415603,0.032135631811814336,0.5683890577507599,-0.3983158808084929,5.212888426123173e-05,-0.12090674736698437,0.8533957172728758
train,universe,329,0.16955754045712412,0.1962302065796842,0.8978966807257669,2.2585132524857565,0.601823708206687,-0.36445821572528125,0.0033883548297313467,1.6938126523185453,
train,long_short,329,-0.32506541962693036,0.1732729359527404,-2.1700779676803776,-5.45847863584027,0.3191489361702128,-0.9167281018496163,-0.007231072705891061,-0.9168711481600422,
train,long_short_gross,329,-0.19316312637130817,0.1730397930436702,-1.1479808767962432,-2.887559425822622,0.43465045592705165,-0.7455893561965122,-0.0038201225642098655,-0.7428180209492868,
train,top_minus_universe,329,-0.16308248709376283,0.09124008646090516,-1.9013983424794407,-4.782658681033515,0.40425531914893614,-0.6783371141043532,-0.003336225945470115,-0.6757954462724158,
train,bottom_minus_universe,329,0.01940259525844734,0.11089307570599366,0.22814342409330066,0.5738577253295009,0.48936170212765956,-0.21819740208079486,0.00048652934615005787,0.129283084184854,
