symbol,date,dir,gap,day_ret,vol_ratio,close_vs_open,ret_126,below_ma200,entry,ret_1,xspy_1,xloc_1,ret_5,xspy_5,xloc_5,ret_10,xspy_10,xloc_10,ret_20,xspy_20,xloc_20,ret_40,xspy_40,xloc_40,ret_60,xspy_60,xloc_60,long_1,lxloc_1,lxspy_1,long_5,lxloc_5,lxspy_5,long_10,lxloc_10,lxspy_10,long_20,lxloc_20,lxspy_20,long_40,lxloc_40,lxspy_40,long_60,lxloc_60,lxspy_60,year,period,gap_bucket,deep
MMM,2018-04-24,-1,-0.0434498772857141,-0.0683247753168233,4.718681735174851,-0.0260048035543863,-0.0812550699409969,True,126.03552975298815,0.011238196236789,0.013710058479215,0.0126173899479124,0.030233423146377,0.0378386619407771,-0.0009543738207258,-0.0031826214798718,0.0117995626799873,0.0002479740153353,0.0038248179466371,0.0404435315829432,0.0105603177095809,0.0082809443272232,0.0623882643572201,-0.0019146522598119,-0.0093427104421286,0.0601577614169539,-0.0446454434300895,-0.011238196236789,-0.0126173899479124,-0.013710058479215,-0.030233423146377,0.0009543738207258,-0.0378386619407771,0.0031826214798718,-0.0002479740153353,-0.0117995626799873,-0.0038248179466371,-0.0105603177095809,-0.0404435315829432,-0.0082809443272232,0.0019146522598119,-0.0623882643572201,0.0093427104421286,0.0446454434300895,-0.0601577614169539,2018,train,4-6%,True
MMM,2018-10-23,-1,-0.0623758692882571,-0.0437525036007714,3.573883940161421,0.0198622935113124,-0.0184750567785373,True,122.03090905954043,0.0393545353836753,0.0090560939009677,0.0376286800473988,0.0119207424477845,-0.0094235766924132,0.0123363657974969,-0.0166581701246912,-0.0111393070804566,-0.0107378135017448,-0.0437795497157464,-0.078463974262002,-0.0476311755627018,0.0179092379921322,-0.0787245402287565,0.000295518829278,-0.0076673929649013,-0.0413466663465799,-0.0779503672321269,-0.0393545353836753,-0.0376286800473988,-0.0090560939009677,-0.0119207424477845,-0.0123363657974969,0.0094235766924132,0.0166581701246912,0.0107378135017448,0.0111393070804566,0.0437795497157464,0.0476311755627018,0.078463974262002,-0.0179092379921322,-0.000295518829278,0.0787245402287565,0.0076673929649013,0.0779503672321269,0.0413466663465799,2018,train,6-10%,False
MMM,2019-04-25,-1,-0.0983200528426142,-0.1294501885381195,8.625482931575625,-0.0345245957766339,-0.0397795471414157,True,122.70257800818818,-0.0059833650039429,-0.0013265210144384,-0.0088969279469302,0.0303358937039492,0.0273570858736875,0.0353158258434687,0.0800395153491281,0.0615840249994932,0.100073800351937,0.1219794740344515,0.0880467196850363,0.1150404370563975,0.0823846188409342,0.0939579396825178,0.085476393531386,0.0755562365769041,0.1005480318883579,0.1114805952349849,0.0059833650039429,0.0088969279469302,0.0013265210144384,-0.0303358937039492,-0.0353158258434687,-0.0273570858736875,-0.0800395153491281,-0.100073800351937,-0.0615840249994932,-0.1219794740344515,-0.1150404370563975,-0.0880467196850363,-0.0823846188409342,-0.085476393531386,-0.0939579396825178,-0.0755562365769041,-0.1114805952349849,-0.1005480318883579,2019,train,6-10%,False
MMM,2020-07-28,-1,-0.0475987106311507,-0.0484562945130236,3.3443243182012523,-0.0009004438480352,-0.0440199275926684,True,105.44012511258748,0.0015974444620137,0.0138963077266947,0.0053992431641255,0.0338020038493463,0.0614820299332795,0.049848066499746,-0.0439615061741769,-0.0077501355192202,-0.0471330749309497,-0.051658546009772,0.01979925487118,-0.0768250636583862,-0.0285102639979795,-0.0199118523526589,-0.0134012989927036,-0.0907976408304667,-0.0193962794720383,-0.0302261224343668,-0.0015974444620137,-0.0053992431641255,-0.0138963077266947,-0.0338020038493463,-0.049848066499746,-0.0614820299332795,0.0439615061741769,0.0471330749309497,0.0077501355192202,0.051658546009772,0.0768250636583862,-0.01979925487118,0.0285102639979795,0.0134012989927036,0.0199118523526589,0.0907976408304667,0.0302261224343668,0.0193962794720383,2020,train,4-6%,False
MMM,2022-07-26,1,0.0700120592141568,0.0494334598092693,4.7021972443287625,-0.0192321191407889,-0.169289708724826,True,100.74671075127942,-0.005443352891019,-0.0314096197723415,-0.0036201717853826,0.0152558891849583,-0.0286696267211425,0.0214437665591331,0.0588743535130977,0.0065321537748259,0.0713914942822692,0.0256747639111996,-0.0292252537882813,0.0310095809780915,-0.1692576703912039,-0.1386870676229854,-0.1421434026681735,-0.1736715801489753,-0.1202645289030891,-0.0601235780614733,-0.005443352891019,-0.0036201717853826,-0.0314096197723415,0.0152558891849583,0.0214437665591331,-0.0286696267211425,0.0588743535130977,0.0713914942822692,0.0065321537748259,0.0256747639111996,0.0310095809780915,-0.0292252537882813,-0.1692576703912039,-0.1421434026681735,-0.1386870676229854,-0.1736715801489753,-0.0601235780614733,-0.1202645289030891,2022,train,6-10%,True
MMM,2023-01-24,-1,-0.0536618724261228,-0.0621433841748244,3.824995278155908,-0.0089624538012069,-0.1236164444468969,True,84.44593480509589,0.0137117586066172,0.0140865045425894,0.019196431534464,-0.0050654059314045,0.0106264720425779,-0.0120458400086671,-0.0209606075103561,0.0164954840530193,-0.0252916982446495,0.0359615715116028,0.0318134474184615,0.0295101366609906,0.1014462495925579,0.0849707466841497,0.0813463015317818,0.0732170343702538,0.1063302519839985,0.0532680583122213,-0.0137117586066172,-0.019196431534464,-0.0140865045425894,0.0050654059314045,0.0120458400086671,-0.0106264720425779,0.0209606075103561,0.0252916982446495,-0.0164954840530193,-0.0359615715116028,-0.0295101366609906,-0.0318134474184615,-0.1014462495925579,-0.0813463015317818,-0.0849707466841497,-0.0732170343702538,-0.0532680583122213,-0.1063302519839985,2023,test,4-6%,True
MMM,2024-01-23,-1,-0.0662842691057836,-0.1103501058621295,10.143820275150375,-0.0471940605671752,-0.0498506792445114,True,75.58267670478905,0.0351820532363047,0.0362751214667673,0.036092836316822,0.0092091142821265,0.0216456345618555,0.0101832417619325,0.0298010878960536,0.0486105759202194,0.0441096284731676,0.0352512987946339,0.0607224858973364,0.0949442067249273,-0.1372694674354129,-0.0604697855132105,0.0070646530722517,-0.1509459699106627,-0.1175095457234192,0.0326270858629592,-0.0351820532363047,-0.036092836316822,-0.0362751214667673,-0.0092091142821265,-0.0101832417619325,-0.0216456345618555,-0.0298010878960536,-0.0441096284731676,-0.0486105759202194,-0.0352512987946339,-0.0949442067249273,-0.0607224858973364,0.1372694674354129,-0.0070646530722517,0.0604697855132105,0.1509459699106627,-0.0326270858629592,0.1175095457234192,2024,test,6-10%,False
ABT,2020-03-30,1,0.1109174325080404,0.0641094178249939,3.961255847806424,-0.0421345577207942,-0.0225268085567339,True,72.21208785309702,-0.0309467841535331,-0.0160415384888567,-0.0238008879358211,0.0159647644846046,0.0036964299918691,0.0072614611947488,0.0992922272395411,0.0146750338129031,0.0909251987944336,0.1279030558401495,0.0358714976271457,0.0977367975136589,0.1192704991934978,-0.0407907976378645,0.0653939740121714,0.0766010079301227,-0.0907148794374266,0.0308113315857755,-0.0309467841535331,-0.0238008879358211,-0.0160415384888567,0.0159647644846046,0.0072614611947488,0.0036964299918691,0.0992922272395411,0.0909251987944336,0.0146750338129031,0.1279030558401495,0.0977367975136589,0.0358714976271457,0.1192704991934978,0.0653939740121714,-0.0407907976378645,0.0766010079301227,0.0308113315857755,-0.0907148794374266,2020,train,>10%,False
ABT,2021-06-01,-1,-0.0557221370057499,-0.093098914145686,5.107687115766191,-0.0395823926459703,-0.0094203242753312,True,95.62263406698854,-0.010492490790674,-0.008920157364503,-0.0079165667565194,-0.0199451156479029,-0.0137261907577155,-0.012006903071433,-0.0436715439300032,-0.0322103627604737,-0.0407564863567179,-0.1079496163613371,-0.0854817109158474,-0.10742394755301,-0.1435753222788869,-0.0944996760477412,-0.0690268593618735,-0.1836175296764837,-0.110444349596027,-0.0967846468650686,0.010492490790674,0.0079165667565194,0.008920157364503,0.0199451156479029,0.012006903071433,0.0137261907577155,0.0436715439300032,0.0407564863567179,0.0322103627604737,0.1079496163613371,0.10742394755301,0.0854817109158474,0.1435753222788869,0.0690268593618735,0.0944996760477412,0.1836175296764837,0.0967846468650686,0.110444349596027,2021,train,4-6%,False
ABT,2023-10-18,1,0.041892608208683,0.0371172405910273,3.107617269065326,-0.0045833587646483,-0.1401743643556642,True,91.1961837950872,-0.0113942248155103,-0.0026078470102163,-0.0149428952608032,-0.0307646626589936,-0.0013371573563505,-0.0340184447716162,-0.0158484885371159,0.001701007935566,0.0133076854073506,0.0151232135677017,-0.0301337125926797,0.0414446104042723,0.1249221570345191,0.0277603735150198,0.1290256844776835,0.1840641511999856,0.0756390751198592,0.2221896176433157,-0.0113942248155103,-0.0149428952608032,-0.0026078470102163,-0.0307646626589936,-0.0340184447716162,-0.0013371573563505,-0.0158484885371159,0.0133076854073506,0.001701007935566,0.0151232135677017,0.0414446104042723,-0.0301337125926797,0.1249221570345191,0.1290256844776835,0.0277603735150198,0.1840641511999856,0.2221896176433157,0.0756390751198592,2023,test,4-6%,True
