period,bh_ann,bh_sharpe,bh_dd,vm_ann,vm_sharpe,vm_dd,avg_exposure
all,0.1521528509502097,0.8782915682015653,-0.3371726930123553,0.16026203413541706,1.0558688595296422,-0.1876640710133446,1.1253874939626467
train,0.11247183900733604,0.644941728110345,-0.3371726930123553,0.13165470312993977,0.9025677128442141,-0.1876640710133446,1.0925915461512652
test,0.2241443369042524,1.4231304820274482,-0.18755234489427308,0.2114512104432167,1.3107425436700855,-0.16940682078896663,1.1821030950147202
