period,dir,gap_bucket,n,avg_gap,avg_day_ret,net_1,hit_1,xspy_1,xloc_1,t_1,net_5,hit_5,xspy_5,xloc_5,t_5,net_10,hit_10,xspy_10,xloc_10,t_10,net_20,hit_20,xspy_20,xloc_20,t_20,net_40,hit_40,xspy_40,xloc_40,t_40,net_60,hit_60,xspy_60,xloc_60,t_60
all,-1,4-6%,691,-0.049940137141358,-0.06546230349289132,-0.0028132462261940133,0.4717800289435601,-0.0013640788529561162,-0.001037531077399184,-0.8308253534267332,-0.004399008367261494,0.4992764109985528,-0.00038534467597171586,-0.0005959444456287509,-0.26741262992508535,-0.008078137810151608,0.46164978292329956,-0.0006094307086365843,0.0001099809525229607,0.03622213632349454,-0.017667284734793492,0.4558610709117221,-0.005431332045404782,-0.00390929089901427,-0.8162193363953911,-0.024590735232774174,0.44283646888567296,-0.002976944211387778,0.007119690571724905,1.0233275562228565,-0.04564888488766427,0.40086830680173663,-0.007349790595657825,0.0003395996755016209,0.040850152272068785
all,-1,6-10%,805,-0.07677052944631138,-0.08871526240889012,-0.0006568516261325314,0.4906832298136646,0.001406535068602241,0.001646222390496516,1.4182526840269964,-0.0008372006552480316,0.4857142857142857,0.0038329550181803815,0.004261812555555655,1.8334053077774997,-0.005405110628856488,0.45217391304347826,0.001458888728958018,0.002786884809382415,0.9224111418975371,-0.01569503055965761,0.453416149068323,-0.0027350950996419335,0.0009762226217314405,0.2071615273441251,-0.02247722229262916,0.43975155279503103,-0.003494085267372293,0.011357569590795034,1.6833930050134627,-0.059530911149690904,0.39627329192546584,-0.02256621755455264,-0.012113418337539757,-1.2017133046849777
all,-1,>10%,508,-0.15363965377195454,-0.1633542533306,-0.005330598268700195,0.468503937007874,-0.0024899481579313937,-0.002696490757212211,-1.1622421986854818,-0.0017679002330021048,0.5137795275590551,-0.0009816853831384458,0.0038735301821348996,0.8357516900643907,-0.008227924922796464,0.4468503937007874,-0.0047319405821722865,0.002954695941054893,0.5173418739617599,-0.021829586575033946,0.4468503937007874,-0.00895530508281429,-0.004282013657742171,-0.6283445113007012,-0.04648403770572155,0.4389763779527559,-0.024383213983565293,-0.02259691548340169,-2.0271901464892204,-0.07469348133353472,0.38976377952755903,-0.03393420315277263,-0.023654108034341363,-1.620862631366757
all,1,4-6%,484,0.04969583812578739,0.06438942233184897,-0.002560125357388795,0.4462809917355372,-0.0018823686150055102,-0.00234660955569639,-1.7724524546988054,0.00436125505490598,0.5371900826446281,0.0012545548613735699,-0.0011142893072570786,-0.36731018882733896,0.00852200121700552,0.5495867768595041,0.0034105151666156625,-0.002498695078800706,-0.6717680061104898,0.018953371171323577,0.5454545454545454,0.009166575219181048,-0.004754863946466392,-0.8888730786170799,0.027970364524185668,0.5743801652892562,0.011715010062687187,-0.01322822088119834,-1.5200750685458995,0.054639764606361586,0.6260330578512396,0.023106922634434247,-0.006244703724815771,-0.5156478662306596
all,1,6-10%,633,0.07672244094170197,0.08818231179859215,-0.00018830382597787831,0.47393364928909953,2.706131414174814e-05,0.00022520215590781542,0.16912150942354223,0.004313214495757188,0.5260663507109005,0.0012650395021101398,0.0018423380666828819,0.7487362441776712,0.010324161590915776,0.5576619273301737,0.004921861331765471,0.005005702491993677,1.4572606240731858,0.013834543144141885,0.5497630331753555,0.004429801944520111,0.0021231591018634807,0.411116231027435,0.023744518855171766,0.5924170616113744,0.0032791873728745674,-0.006162099172214286,-0.9050621767322697,0.037338616352985986,0.6113744075829384,0.0030009835763737613,-0.009397788451579337,-0.9810763810007016
all,1,>10%,599,0.15386236911680531,0.16220435789628027,0.0039373807719781115,0.5242070116861436,0.0034601141036689495,0.003046642878998159,1.544373229619369,0.004775020809468482,0.5275459098497496,0.0015414990555888228,-0.0013446425925482464,-0.4361053571721242,0.017256351638447985,0.5692821368948247,0.011365013355700289,0.006023797469867193,1.4430236028121988,0.03139179593508184,0.5909849749582637,0.01923051265263932,0.0066955229215166015,1.0314388127143006,0.049935355851129896,0.5859766277128547,0.02533189661098652,-0.0007860594694994442,-0.0736089916995802,0.09506847978755292,0.6260434056761269,0.05431786358799376,0.023343106640544804,1.3884275374766974
train,-1,4-6%,432,-0.04990373904819984,-0.062412086787787396,-0.002078713324080792,0.48148148148148145,-0.0009227837124012039,-0.0005923889442534281,-0.35515671617913347,-0.004978901233720255,0.48148148148148145,-0.002947684354651444,-0.0015737468058285976,-0.5463855738882284,-0.00888752688599749,0.44675925925925924,-0.0033834152181154865,-0.001394029112538895,-0.35281779087304677,-0.017144316454966897,0.4583333333333333,-0.008279017951804067,-0.005269939768676528,-0.8147931489069221,-0.023853303617461546,0.4375,-0.008197239352094217,0.00250991358188213,0.27056899165654746,-0.043233250335900704,0.4050925925925926,-0.014603669379669495,-0.002149104556803502,-0.20843162686656452
train,-1,6-10%,435,-0.07570759936946754,-0.0846581750645894,0.0007764415138546106,0.5057471264367817,0.002787197330648981,0.002920787473923566,1.79961550374623,0.006317573895589793,0.5333333333333333,0.008347522799936141,0.008651990054735242,2.533212941915447,0.0012402429198021675,0.47126436781609193,0.004310691979956593,0.008052084990498405,1.8946990838042406,-0.003700107190878821,0.4482758620689655,0.0022435930549331035,0.009706409294638655,1.7085189993119876,-0.004802715918107965,0.4528735632183908,-6.652335036320824e-05,0.01991740612284582,2.3226003447105663,-0.04308836142513355,0.3954022988505747,-0.02000920307665135,-0.010450933972656347,-0.9363278826949684
train,-1,>10%,224,-0.15873381052077296,-0.1700885413081612,-0.00748129940198973,0.4955357142857143,-0.0031171192642658356,-0.005969476201566312,-1.4046093629446794,-0.001693926998353256,0.5267857142857143,-0.006775956215951417,0.0030057010287168817,0.33268249670894384,1.28542481379057e-05,0.45535714285714285,-0.0051036832882629685,0.008271221790677378,0.7760736348209077,-0.03176434829944381,0.45535714285714285,-0.024567052744420538,-0.017259081408117983,-1.4459175455995537,-0.06833185257629189,0.42410714285714285,-0.057325947450538886,-0.05914726040194836,-3.1460441290154124,-0.11669270493627251,0.35714285714285715,-0.08373162532368082,-0.08532064940585202,-3.7019613152472868
train,1,4-6%,282,0.04955613128479722,0.06293088089487983,-0.0018890221694247448,0.46099290780141844,-0.0003466187751186996,-0.0010975948422414868,-0.632305578956914,0.0003375635773001011,0.5567375886524822,-0.00030520671030529796,-0.0025988144344085565,-0.618332634014342,0.0045693417702688125,0.5673758865248227,0.0022576901190838813,-0.003759952586924959,-0.7768916990666522,0.010101692557200934,0.5567375886524822,0.005267731571770446,-0.007267616332391663,-1.1024279866130717,0.014085337751239603,0.574468085106383,0.006412375142891875,-0.022821356145331893,-2.6167810744534337,0.035299765236453444,0.624113475177305,0.014693666108374585,-0.016506931113814852,-1.369292622547011
