period,n,n_symbols,net_5,hit_5,xspy_5,xloc_5,xloc_lo_5,xloc_hi_5,t_5,net_20,hit_20,xspy_20,xloc_20,xloc_lo_20,xloc_hi_20,t_20,net_60,hit_60,xspy_60,xloc_60,xloc_lo_60,xloc_hi_60,t_60,net_120,hit_120,xspy_120,xloc_120,xloc_lo_120,xloc_hi_120,t_120
all,423,191,0.0013448315047879609,0.5035460992907801,0.0002299697109789997,0.001379246404478179,-0.005972773740472228,0.009888665632763789,0.3792961909140585,0.01641004344731207,0.5673758865248227,0.004186001456636159,0.013142239827779827,-0.0015526391222824769,0.0287696144140856,1.850068546619997,0.053792394602999685,0.6288416075650118,0.009105461995659878,0.03436912916783725,0.008767962782484276,0.05985594972154089,2.867572320908901,0.091362635037847,0.6501182033096927,0.012742168873895548,0.041220825857583465,0.0056097932224316305,0.07464475631287151,2.4068136999714524
train,292,148,-0.0008463489287030614,0.5,-0.0011658304947432625,-0.0013165827524176802,-0.01128932889686862,0.008363124811067246,-0.27311918151161874,0.007773020838678966,0.5616438356164384,-0.0035705189044026872,0.005846905013272721,-0.008342832410090893,0.021912700799121776,0.741697944775293,0.054622499841375745,0.660958904109589,0.01260347607613555,0.03663759170572915,0.01167592133560896,0.06458706954398087,2.53160740707861,0.0864370581263657,0.6506849315068494,0.018843939689258907,0.03870744512566829,-0.004515106307857865,0.07825254849840599,1.770863141554818
test,131,91,0.006228989417607644,0.5114503816793893,0.0033412190244973246,0.007388270174047576,-0.0017574267076804484,0.016476546532526833,1.566208591853673,0.03566203277342554,0.5801526717557252,0.021475344551470838,0.029403596818894907,0.003528832355191196,0.05881570325292333,2.001043116963631,0.05194208368997822,0.5572519083969466,0.0013083619078820355,0.0293127088543683,-0.008384818708678866,0.07144866302374829,1.3660761352101016,0.10234178357336247,0.648854961832061,-0.0008587248519525554,0.04682317069513485,-0.00047773491598419415,0.09706264772845806,1.7820384659721047
