period,n,n_symbols,net_5,hit_5,xspy_5,xloc_5,xloc_lo_5,xloc_hi_5,t_5,net_20,hit_20,xspy_20,xloc_20,xloc_lo_20,xloc_hi_20,t_20,net_60,hit_60,xspy_60,xloc_60,xloc_lo_60,xloc_hi_60,t_60,net_120,hit_120,xspy_120,xloc_120,xloc_lo_120,xloc_hi_120,t_120
all,7860,458,0.0011608906780151533,0.5251908396946565,0.0006259560812350362,-0.0027611642460017654,-0.003794103810121467,-0.0017068324254730833,-5.0092907386597165,0.008485322125733977,0.5576335877862595,0.001649874916737378,-0.011021503424746724,-0.013475995499301762,-0.008546769296007062,-9.298105823375623,0.04348281525065494,0.6016539440203562,0.011454639986664133,-0.016507393463246183,-0.021193778402692157,-0.011757693370651879,-6.7709529250430345,0.0885860366717531,0.628880407124682,0.019770803750748835,-0.03939187133114621,-0.04599213676631873,-0.03218603308801467,-11.013802049204875
train,5332,434,0.00016323743430747336,0.5180045011252813,0.0005397489590741643,-0.0033942345123686166,-0.004735442254723588,-0.001965683286473748,-5.094447272481522,0.0042034623749319456,0.5551387846961741,0.0007605137068819911,-0.01372985688498291,-0.016363859454133822,-0.010936325708103708,-9.807413949432682,0.035795575698983874,0.5995873968492123,0.011110554061202411,-0.01719180536367207,-0.02201897722496739,-0.012276012047660477,-6.53199359075308,0.07243781135074344,0.6174043510877719,0.017808794293557386,-0.043655692724173516,-0.05197755000872094,-0.036584158091829126,-10.972221120724654
test,2528,393,0.0032651181683036623,0.5403481012658228,0.0008077821790838368,-0.0014259068645666208,-0.0034721448232038154,0.00058880606069712,-1.4540233997969274,0.017516523150764213,0.5628955696202531,0.0035256953166380584,-0.005309106015735901,-0.009542601340994586,-0.0006043537401237095,-2.4115435706219026,0.05969656576074599,0.6060126582278481,0.012180378180715512,-0.01506384747706311,-0.025284991852869712,-0.00444567541948569,-2.9180454159684754,0.12264550558457887,0.6530854430379747,0.023909029393844084,-0.030398716399333905,-0.04401679479304848,-0.015522999776446715,-4.1674238266661865
