period,n,n_symbols,net_5,hit_5,xspy_5,xloc_5,xloc_lo_5,xloc_hi_5,t_5,net_20,hit_20,xspy_20,xloc_20,xloc_lo_20,xloc_hi_20,t_20,net_60,hit_60,xspy_60,xloc_60,xloc_lo_60,xloc_hi_60,t_60,net_120,hit_120,xspy_120,xloc_120,xloc_lo_120,xloc_hi_120,t_120
all,295,118,-0.0038096386281916694,0.5050847457627119,-0.005556619058884401,-0.002968563745807244,-0.010890872985674298,0.00533516758958808,-0.7175418459203565,0.014577909302459103,0.5728813559322034,-0.0006481580469586989,0.011297374535123753,-0.0015018141815243695,0.02426425214122181,1.6806657380504049,0.06423932479498777,0.6576271186440678,0.012768366819052567,0.055381078835573236,0.0287977598784703,0.07901421135404477,4.3282530643390995,0.09100771229940219,0.6576271186440678,-0.00101515115387098,0.0728268210726604,0.036736580453187825,0.10847983272784764,4.045015386912723
train,217,93,-0.005016747999489145,0.5207373271889401,-0.006303038838997512,-0.004848816866940559,-0.014589433399659154,0.004378113081975728,-0.9098161631376396,0.017004063418984194,0.5806451612903226,0.001606220184098642,0.012252237728789282,-0.0017016925349625444,0.026542930270889754,1.4750896685186072,0.0723220129494115,0.6682027649769585,0.02419017992508381,0.06407304313507302,0.03494522436309786,0.09018989399366775,4.0963177525784085,0.10005487316802476,0.663594470046083,0.014798583909938606,0.08224050575943738,0.04416026369425684,0.11976495590688238,3.6930431502586627
test,78,45,-0.0004513984541974079,0.46153846153846156,-0.0034800409526722876,0.002262396860422618,-0.007191959098563249,0.011906136928887496,0.4523287837887984,0.007828224132126473,0.5512820512820513,-0.006919953894900275,0.008640896163002992,-0.01143101073670226,0.03203523993937184,0.8094787016978088,0.04175287185255258,0.6282051282051282,-0.01900770297593177,0.03119958841260587,-0.008992377596241798,0.07329922533548537,1.4798585597894218,0.06583804680592653,0.6410256410256411,-0.045009773062161744,0.04663746752098604,-0.010174970344951136,0.09845623285357158,1.6503484123685628
