period,n,n_symbols,net_5,hit_5,xspy_5,xloc_5,xloc_lo_5,xloc_hi_5,t_5,net_20,hit_20,xspy_20,xloc_20,xloc_lo_20,xloc_hi_20,t_20,net_60,hit_60,xspy_60,xloc_60,xloc_lo_60,xloc_hi_60,t_60,net_120,hit_120,xspy_120,xloc_120,xloc_lo_120,xloc_hi_120,t_120
all,1599,389,-0.00016147420301843737,0.5140712945590994,-2.121419584739892e-05,-0.0004853459685916182,-0.0037213689874875627,0.002948410966269733,-0.29585788054414125,0.014342860246059951,0.5747342088805504,0.003704830316176334,0.006689965817216761,0.0007189481716810171,0.012233273508591535,2.1001996389075486,0.05788821573589334,0.6360225140712945,0.016011147245068972,0.02951156368338941,0.017648771721653807,0.04153434150402487,4.872730611702317,0.10323542667301587,0.6604127579737336,0.020535540271294107,0.055539383409967585,0.039677211330168737,0.07157115408857188,6.778592993128434
train,1106,341,-0.001458934459779407,0.5036166365280289,-0.00018458696278686543,-0.0013597445425686202,-0.005690817079718833,0.002997164681638496,-0.6327414746459891,0.010906807271706925,0.5777576853526221,0.0021376951509184516,0.002745096190250343,-0.0051638363026998094,0.009668394032462524,0.7131430328148783,0.05607534722390708,0.6374321880650995,0.019463223333147126,0.028335984649218774,0.014840574792855112,0.04323503093841562,4.019023693723414,0.09789332703245746,0.6618444846292948,0.026286042640189564,0.05344385070679366,0.03503015692524936,0.07112409778168496,5.4053210306461175
test,493,233,0.0027492581377069835,0.537525354969574,0.0003452975287673078,0.0014762865320545584,-0.002723991680582022,0.005482195543677687,0.6556399185926256,0.0220513279735132,0.5679513184584178,0.007220553425253853,0.01553991674505623,0.004686682690653168,0.026806257654612253,2.7469190570356785,0.06195521892911201,0.6328600405679513,0.008266733140780053,0.03214886674990608,0.011054589693965928,0.05444340343571785,2.757430734128889,0.11521993418307186,0.6572008113590264,0.007634818932555011,0.060240517628447024,0.03080561158137817,0.08994096633624798,4.1125159262670765
