rule,kind,hold,period,n,net_ret,hit,avg_bars,early_exit,per_bar_bp,rand_net,rand_hit,rand_avg_bars,rand_per_bar_bp,excess,excess_lo,excess_hi,excess_bar_bp,profit_factor
take 3% / time 20,target,20,all,1119,0.006380568166857519,0.8105451295799821,7.5272564789991065,0.7899910634495085,8.476618519189795,-0.004045143540121109,0.7218051831992851,9.844950848972296,-4.108850924881334,0.010425711706978626,0.006091705487392191,0.015166256421527224,12.58546944407113,1.345676081200704
take 5% / time 20,target,20,train,607,0.01215164284787096,0.7512355848434926,10.446457990115322,0.6688632619439868,11.632309113164599,-0.004583777252930839,0.6273476112026359,13.017627677100494,-3.5212078318956928,0.0167354201008018,0.00889660597162231,0.024155561023014954,15.153516945060291,1.494978740100575
take 5% / time 20,target,20,test,509,0.01396477903696465,0.7328094302554028,10.86836935166994,0.6699410609037328,12.849010357583165,-0.006663588949310477,0.5917485265225934,13.600196463654225,-4.89962697753562,0.02062836798627513,0.013860176135351782,0.027660431651815132,17.748637335118786,1.6384858353830107
take 5% / time 20,target,20,all,1116,0.012978601916194156,0.742831541218638,10.63888888888889,0.6693548387096774,12.199208067440981,-0.005532365204057394,0.6111111111111112,13.283333333333333,-4.164892248976709,0.018510967120251555,0.012406808206151766,0.023142232467919705,16.36410031641769,1.5563444259413983
take 8% / time 20,target,20,train,607,0.014385029586009289,0.6754530477759473,14.0,0.471169686985173,10.275021132863777,-0.006793282093194739,0.5350906095551895,16.09522240527183,-4.22068233798973,0.02117831167920402,0.01178869506167985,0.029936043322698405,14.495703470853506,1.4703757960960573
take 8% / time 20,target,20,test,507,0.017805692566092903,0.6370808678500987,14.49112426035503,0.44970414201183434,12.28730928407391,-0.00898612247558407,0.5043392504930967,16.521499013806707,-5.439047914523093,0.02679181504167697,0.01897667516350478,0.034486018660911694,17.726357198597004,1.6617936284516721
take 8% / time 20,target,20,all,1114,0.015941830421648776,0.6579892280071813,14.223518850987432,0.4614003590664273,11.208077683633158,-0.007791280364174442,0.5210951526032316,16.28922800718133,-4.783087547635499,0.023733110785823217,0.017184251578157044,0.03001135583753076,15.991165231268656,1.5514558468768695
take 5% / time 60,target,60,train,607,0.02741096582699304,0.8813838550247117,19.080724876441515,0.8533772652388797,14.365788514060416,-0.004980801479143199,0.7388797364085667,26.745963756177925,-1.8622628537708639,0.03239176730613624,0.02472224837290598,0.03972848046243878,16.22805136783128,2.5309896960786356
take 5% / time 60,target,60,test,505,0.022254382574301047,0.8376237623762376,20.211881188118813,0.8257425742574257,11.010544920174418,-0.011308654186109445,0.6976237623762376,28.76930693069307,-3.9308052200745225,0.03356303676041049,0.025182279335635882,0.042462277770418534,14.94135014024894,2.0489588084298536
take 5% / time 60,target,60,all,1112,0.025069172173567265,0.8615107913669064,19.594424460431654,0.8408273381294964,12.794033437517461,-0.007854511566389562,0.7201438848920864,27.664838129496403,-2.8391677296730817,0.03292368373995683,0.0277667832855163,0.03846929241066538,15.633201167190542,2.2916924491958546
