group,hold,target,stop,n,net_ret,hit,hit_lo,rand_net,rand_hit,excess,excess_lo,excess_hi,p,profit_factor,target_rate,stop_rate,avg_bars
,1,0.01,,4106,-7.124408652647408e-05,0.61665854846566,0.6016843133266105,-0.0005668317611815715,0.5890647832440331,0.0004955876746550974,5.7888331564077496e-05,0.000926315840916673,0.004,0.9866943915778903,0.5253287871407696,,1.0
,1,0.01,0.02,4106,-0.0015550597836079397,0.5467608377983438,0.5314973713881093,-0.0016641426960540358,0.5340233804188992,0.00010908291244609589,-0.0002581742795158127,0.0005062099515175563,0.282,0.7488879465362509,0.4585971748660497,0.22040915733073552,1.0
,1,0.01,0.03,4106,-0.001029479199270073,0.5864588407208963,0.5713213898076348,-0.0013526906364846416,0.5655382367267413,0.0003232114372145685,-5.261710212255629e-05,0.0007553054340560357,0.046,0.8292419187663136,0.49585971748660496,0.09814905017048223,1.0
,1,0.02,,4106,-0.00016226045371249006,0.5153433999025816,0.5000495578376861,-0.0005948869724550625,0.502508524111057,0.0004326265187425723,-7.287652714270316e-05,0.0009825692043567845,0.042,0.9754173890909896,0.2389186556259133,,1.0
,1,0.02,0.02,4106,-0.0008014509570975524,0.4785679493424257,0.46331532659186486,-0.0009577966625231088,0.47345348270823184,0.00015634570542555652,-0.0002655824879851674,0.0006283161888263997,0.228,0.879230444305108,0.2113979542133463,0.22040915733073552,1.0
,1,0.02,0.03,4106,-0.0005560747566961134,0.5014612761811983,0.48617328285513733,-0.000888141488190813,0.49193862640038966,0.0003320667314946996,-0.0001226907702397351,0.000844842388567984,0.068,0.9175117124152713,0.22625426205552848,0.09814905017048223,1.0
,1,0.03,,4106,-0.00021537545083940725,0.49561617145640524,0.48033416353273234,-0.0005429112008734422,0.4878470530930346,0.0003275357500340351,-0.00024176651658787814,0.0008905245654959564,0.11,0.9686538363620393,0.11081344374086702,,1.0
,1,0.03,0.02,4106,-0.0005523572267562518,0.4685825621042377,0.4533554155446475,-0.0007292416067574088,0.4640526059425231,0.00017688438000115723,-0.0002964272131726917,0.0006653292229403708,0.226,0.9175083916814873,0.09766195811008281,0.22040915733073552,1.0
,1,0.03,0.03,4106,-0.0005029263095248156,0.48538723818801754,0.4701207282650245,-0.0007027505259643257,0.48032148075986364,0.00019982421643951012,-0.0003032518766042486,0.000748450371390638,0.202,0.9270973256694814,0.10277642474427667,0.09814905017048223,1.0
,1,,,4106,-0.00023830824899023087,0.48782269849001464,0.47255191841316463,-0.0005504174516370437,0.48197759376522165,0.0003121092026468129,-0.00026097934731766453,0.0008949825035907272,0.158,0.9660264092390529,,,1.0
,1,,0.02,4106,-0.0002875372592789986,0.46639064783244033,0.45116991300846276,-0.000526529080570075,0.4618119824646858,0.00023899182129107695,-0.0002880635499125408,0.0007960430496988534,0.19,0.9571128673559475,,0.22040915733073552,1.0
,1,,0.03,4106,-0.00026928231032207514,0.482464685825621,0.46720377902066523,-0.0005392098293139652,0.4769118363370677,0.00026992751899189015,-0.0003075856004218183,0.0008409190959291308,0.164,0.9610659465582162,,0.09814905017048223,1.0
,2,0.01,,4104,-2.5409936764560396e-05,0.7019980506822612,0.687820799642357,-0.0004997225648225557,0.6776072124756335,0.0004743126280579953,-1.827665918695731e-05,0.0010738178053523002,0.038,0.9961839196215886,0.6627680311890838,,1.4744152046783625
,2,0.01,0.02,4105,-0.0015645511879848514,0.597563946406821,0.5824777773919435,-0.0017456047271608975,0.5870401948842875,0.00018105353917604596,-0.0002600676350506086,0.0006691893933226186,0.184,0.7829973263780794,0.5671132764920829,0.3093788063337393,1.3208282582216808
,2,0.01,0.03,4104,-0.0011011407587876534,0.6576510721247564,0.6429924199286303,-0.0013716561786793183,0.6401803118908382,0.0002705154198916648,-0.00020869251242719238,0.0009047476096644951,0.118,0.849521319065791,0.6211013645224172,0.16885964912280702,1.405701754385965
,2,0.02,,4101,-0.0003819820087450056,0.5623018775908315,0.5470666672281375,-0.0005405148204191841,0.5490612045842478,0.0001585328116741784,-0.00054125482833878,0.0008238084315968928,0.352,0.9593282757566828,0.3860034138015118,,1.7607900512070227
,2,0.02,0.02,4102,-0.000996378816168835,0.48683568990736226,0.47155916672324555,-0.001047903145975112,0.48161872257435395,5.1524329806277e-05,-0.00048601317164588596,0.0006756041379473073,0.42,0.8865984205861707,0.33276450511945393,0.36006825938566556,1.5677718186250609
,2,0.02,0.03,4101,-0.0008880375415512364,0.5310899780541332,0.5157944526189967,-0.0008991543916194318,0.5233113874664715,1.111685006819489e-05,-0.0005706796307642564,0.000639415452679595,0.52,0.9055059262712436,0.3635698610095099,0.2050719336747135,1.6752011704462326
,2,0.03,,4100,-0.0004882327461249781,0.5192682926829268,0.503963744948398,-0.00046852888412328615,0.512,-1.970386200169189e-05,-0.0007485342241245077,0.0008014523920870399,0.506,0.9525638696635602,0.22463414634146342,,1.8890243902439023
,2,0.03,0.02,4101,-0.0007318804696147499,0.45330407217751767,0.4381185630834222,-0.0008182427355864174,0.4510119483052914,8.636226597166781e-05,-0.0005144457157307844,0.0007270335196324775,0.41,0.9209655750191396,0.19263594245306023,0.37698122409168494,1.6815410875396244
,2,0.03,0.03,4100,-0.0008189341071619499,0.4917073170731707,0.4764193185605506,-0.0007023648528428668,0.4897073170731707,-0.000116569254319083,-0.0007586625944321485,0.0006178431279801281,0.632,0.9186557991451529,0.20926829268292682,0.2178048780487805,1.798780487804878
,2,,,4100,-0.0006790758414870881,0.494390243902439,0.47909859366313934,-0.0006187475148746107,0.49021951219512194,-6.0328326612477504e-05,-0.0009314824963201619,0.000849681825169548,0.522,0.9379813755859073,,,2.0
