feature,train_T1_xloc,train_T3_xloc,train_gap,train_n,test_T1_xloc,test_T3_xloc,test_gap,test_n,consistent
prior_trend,0.03332828133774779,0.019497857195330908,-0.013830424142416881,1792,0.011964795456741024,0.0012937103867269935,-0.01067108507001403,1370,True
breakout_close_strength,0.030267869273122375,0.017766260518853053,-0.012501608754269321,1792,0.011404038752415718,0.0008823481894436327,-0.010521690562972086,1373,True
score,0.02919069275438607,0.015208917722339125,-0.013981775032046947,1792,0.010660111736399969,0.0026086694887700475,-0.00805144224762992,1372,True
dist_ma200,0.043282785700182985,0.005628201846028731,-0.03765458385415425,1792,0.026817102510454736,-0.006228512905559661,-0.0330456154160144,1369,True
ret_126,0.04886367424507218,0.002693955856650704,-0.046169718388421474,1792,0.031497206587643864,-0.009260485433285448,-0.04075769202092931,1371,True
atr_pct,0.012323838151665498,0.036179574354054396,0.0238557362023889,1792,0.0024035274080591884,0.019390628631221995,0.016987101223162805,1373,True
height_pct,0.013641402510054175,0.03605946678737957,0.022418064277325393,1792,0.004275905232157746,0.02527803729043905,0.021002132058281303,1373,True
apex_gap,0.029625617097969507,0.017733453462033116,-0.011892163635936391,1792,0.0019059391344483348,0.013476282775332355,0.01157034364088402,1373,False
volume_trend,0.02462607636439934,0.022604212623539576,-0.0020218637408597646,1792,-0.0036159522177202645,0.01044627495581264,0.014062227173532903,1372,False
scale,0.025364747470671353,0.013224417581229922,-0.01214032988944143,1792,0.0016233226123585649,0.038454223185078566,0.03683090057272,1373,False
gap_from_level,0.02082344677636299,0.02851453161620331,0.00769108483984032,1792,0.007978171275530039,0.007551827879026622,-0.00042634339650341694,1370,False
max_residual,0.02085035494248024,0.018473218787191315,-0.002377136155288926,1792,0.0045529836474111395,0.005339356983164167,0.0007863733357530277,1373,False
dist_ma50,0.038017358289944986,0.013606795436155861,-0.024410562853789126,1792,0.00735929967923491,0.007618073293813024,0.00025877361457811356,1369,False
delay_bars,0.024014357321794,0.018818748784374825,-0.005195608537419176,1792,0.002166868907067425,0.03208986959495841,0.029923000687890985,1373,False
convergence,0.018196023636087987,0.030130584296289727,0.01193456066020174,1792,0.013731940708679096,0.0027249289793699837,-0.011007011729309112,1373,False
breakout_vol_ratio,0.028777943141826252,0.018702297254382116,-0.010075645887444137,1791,-0.0043535247047057765,0.022753209808723657,0.027106734513429435,1372,False
width,0.023316442030129246,0.018473063850355888,-0.004843378179773358,1792,0.004272741898595769,0.021321492902859156,0.01704875100426339,1371,False
