,n,ret,hit,xloc,xloc_lo,xloc_hi,avg_r,pf,target_rate
train,1792.0,0.027349684642175933,0.6462053571428571,0.023135858780031722,0.01903539547782147,0.02767871733509356,0.44150274989765725,1.9144874688446558,0.3158482142857143
test,1373.0,0.015842400962998795,0.5753823743627094,0.006961523059533569,0.001469308392378885,0.011940064428420388,0.32877000079988805,1.639298051887175,0.3199137311286844
all,3165.0,0.022357741358918364,0.6154818325434439,0.016119314405863013,0.012799287568349955,0.019444243607453032,0.3922354149645012,1.7899296204418655,0.3176248821866164
