year,n,ret,hit,xloc,xloc_lo,xloc_hi,avg_r,pf,target_rate
2016,44.0,0.029362647240849846,0.7272727272727273,0.02521080725132638,0.0051562694831605365,0.04441363091744225,0.8226219373472365,3.2923088222668104,0.4318181818181818
2017,247.0,0.028725909890788912,0.7004048582995951,0.021201116641480545,0.013562820518197592,0.02879898373792517,0.8771960953889671,3.280054433657351,0.41700404858299595
2018,288.0,0.0005593641145576783,0.5416666666666666,-0.00114086358258961,-0.010060898152415697,0.008805396790560487,0.17740419410202618,1.3161906120758504,0.20833333333333334
2019,274.0,0.042011452189452424,0.7262773722627737,0.037158381893192774,0.027578271288447663,0.04560475222392795,0.8258516987560058,3.251417713025378,0.38686131386861317
2020,206.0,0.035981786841107304,0.6359223300970874,0.015274369173203467,-0.005190418286617111,0.03238274823305567,0.5026786930656599,2.1877948076857736,0.42718446601941745
2021,313.0,0.030779304994721573,0.6357827476038339,0.025164826854695104,0.016638207277222802,0.034347249509759994,0.4876216748481595,2.0180817624851826,0.36421725239616615
2022,420.0,0.02834517461818685,0.638095238095238,0.03389897338610546,0.022917901336466633,0.044670217834911985,0.011954264981705147,1.0196800656739848,0.18095238095238095
2023,470.0,0.02122219446276575,0.6042553191489362,0.011956482524057862,0.002186093149888968,0.021628961277474035,0.3491754489318415,1.6961493271739074,0.3382978723404255
2024,309.0,0.006123927590328255,0.5469255663430421,-0.0058630725704464275,-0.016215064386358953,0.004416510031176921,0.30783715859235045,1.6172874767724306,0.34627831715210355
2025,355.0,0.011372912180710555,0.5633802816901409,0.00553869511552275,-0.005128738684678698,0.016444096956591964,0.2608855164546018,1.460842023285785,0.29859154929577464
2026,239.0,0.024466559310183128,0.5732217573221757,0.015832958295773074,-4.141518043655759e-05,0.032322703068215664,0.41017980780768915,1.8459501260420306,0.2840466926070039
