entry,period,n,mean_ret,hit,share_of_signals
signal close,test,1373,0.01712312175230691,0.5848506919155134,0.98705966930266
signal close,train,1792,0.028203717119928067,0.6456473214285714,1.0
signal close,all,3165,0.023396874326960023,0.6192733017377567,0.9943449575871819
next open,test,1373,0.015842400962998802,0.5753823743627094,0.98705966930266
next open,train,1792,0.02734968464217594,0.6462053571428571,1.0
next open,all,3165,0.022357741358918375,0.6154818325434439,0.9943449575871819
retest (within 5 bars),test,954,0.014914378052133288,0.5639412997903563,0.6858375269590223
retest (within 5 bars),train,1233,0.024032240653891222,0.6472019464720195,0.6880580357142857
retest (within 5 bars),all,2187,0.020054901411972127,0.6108824874256973,0.6870876531573987
