group,n,hit,stop,mean_ret,days,per_day_bp,bh_per_day_bp,edge_bp,ann,dim,tp,sl,period
above MA200,74893.0,0.978155501849305,0.0040991814989384855,0.0051010985550656645,12.585742325718025,4.053077222661671,4.176530545237302,-0.12345332257563128,0.10751288040732554,trend,0.01,0.5,
beaten-down,23413.0,0.9861615341904071,0.004100286165805322,0.006635352788931732,8.190150770939221,8.101624713034202,8.39929026137404,-0.29766554833983744,0.22639415875267632,trend,0.01,0.5,
below MA200,17138.0,0.982611739992998,0.005776636713735558,0.005308523341320722,10.291632629244953,5.15809641925606,5.507095626331301,-0.3489992070752413,0.13877203296298113,trend,0.01,0.5,
low vol,38467.0,0.9763693555515117,0.003925442587152625,0.004929159541204763,15.420776249772532,3.19644060802547,3.349182791701723,-0.15274218367625322,0.08386941766438993,vol,0.01,0.5,
mid vol,38466.0,0.9789684396609993,0.004419487339468621,0.00481045420173947,11.68044506837207,4.118382624618528,4.282639256402948,-0.1642566317844199,0.10933626503923688,vol,0.01,0.5,
high vol,38466.0,0.9859876254354495,0.004679457182966776,0.0065949033970442335,6.954297301513025,9.48320601077754,9.748968714716211,-0.2657627039386718,0.2698052595192635,vol,0.01,0.5,
6m losers,38337.0,0.9845579988001147,0.004251767222265696,0.006297777341611162,9.076192712001461,6.938787596790011,7.230082728944116,-0.2912951321541052,0.19100419254144185,mom,0.01,0.5,
6m middle,38337.0,0.9787411638886715,0.004121344914834233,0.005247988668214151,12.698750554294806,4.132681121481864,4.291266094101105,-0.1585849726192407,0.10973589056098954,mom,0.01,0.5,
6m winners,38337.0,0.9780629678900279,0.004538696298614915,0.004845065830319225,12.300258236168714,3.9389952123707332,4.0491215594365455,-0.1101263470658126,0.10433476904867822,mom,0.01,0.5,
NASDAQ-100,21367.0,0.9833387934665606,0.004726915336734216,0.006301990906158083,10.209107502223054,6.172910712112505,6.930857517263614,-0.7579468051511086,0.16825286807407203,index,0.01,0.5,
S&P-only,94077.0,0.9797825185752097,0.004262465852440022,0.005247966264479801,11.613678157254164,4.518780521915707,4.582540670790431,-0.06376014887472488,0.12058127754792158,index,0.01,0.5,
